country,admin,esa_id,esa_class,esa_sampled_ha,esa_total_ha,tree_cover_class,tof_ha,tof_mean
Sudan,Al Jazirah,10,"Cropland, rainfed",133387.74,133610.33,0-9,165238,5.110000133514404
Sudan,Al Jazirah,10,"Cropland, rainfed",133387.74,133610.33,10-19,2565,5.110000133514404
Sudan,Al Jazirah,10,"Cropland, rainfed",133387.74,133610.33,20-29,1163,5.110000133514404
Sudan,Al Jazirah,10,"Cropland, rainfed",133387.74,133610.33,30-39,752,5.110000133514404
Sudan,Al Jazirah,10,"Cropland, rainfed",133387.74,133610.33,40-49,535,5.110000133514404
Sudan,Al Jazirah,10,"Cropland, rainfed",133387.74,133610.33,50-59,360,5.110000133514404
Sudan,Al Jazirah,10,"Cropland, rainfed",133387.74,133610.33,60-69,299,5.110000133514404
Sudan,Al Jazirah,10,"Cropland, rainfed",133387.74,133610.33,70-79,263,5.110000133514404
Sudan,Al Jazirah,10,"Cropland, rainfed",133387.74,133610.33,80-89,185,5.110000133514404
Sudan,Al Jazirah,10,"Cropland, rainfed",133387.74,133610.33,90-99,98,5.110000133514404
Sudan,Al Jazirah,11,"Cropland, rainfed",1185.24,1185.24,0-9,1584,6.21999979019165
Sudan,Al Jazirah,11,"Cropland, rainfed",1185.24,1185.24,10-19,18,6.21999979019165
Sudan,Al Jazirah,11,"Cropland, rainfed",1185.24,1185.24,20-29,14,6.21999979019165
Sudan,Al Jazirah,11,"Cropland, rainfed",1185.24,1185.24,30-39,8,6.21999979019165
Sudan,Al Jazirah,11,"Cropland, rainfed",1185.24,1185.24,40-49,11,6.21999979019165
Sudan,Al Jazirah,11,"Cropland, rainfed",1185.24,1185.24,50-59,8,6.21999979019165
Sudan,Al Jazirah,11,"Cropland, rainfed",1185.24,1185.24,60-69,7,6.21999979019165
Sudan,Al Jazirah,11,"Cropland, rainfed",1185.24,1185.24,70-79,12,6.21999979019165
Sudan,Al Jazirah,11,"Cropland, rainfed",1185.24,1185.24,80-89,8,6.21999979019165
Sudan,Al Jazirah,11,"Cropland, rainfed",1185.24,1185.24,90-99,2,6.21999979019165
Sudan,Al Jazirah,20,"Cropland, irrigated or post-flooding",1372914.38,1375064.69,0-9,1386614,5.070000171661377
Sudan,Al Jazirah,20,"Cropland, irrigated or post-flooding",1372914.38,1375064.69,10-19,31537,5.070000171661377
Sudan,Al Jazirah,20,"Cropland, irrigated or post-flooding",1372914.38,1375064.69,20-29,9315,5.070000171661377
Sudan,Al Jazirah,20,"Cropland, irrigated or post-flooding",1372914.38,1375064.69,30-39,4595,5.070000171661377
Sudan,Al Jazirah,20,"Cropland, irrigated or post-flooding",1372914.38,1375064.69,40-49,2994,5.070000171661377
Sudan,Al Jazirah,20,"Cropland, irrigated or post-flooding",1372914.38,1375064.69,50-59,2242,5.070000171661377
Sudan,Al Jazirah,20,"Cropland, irrigated or post-flooding",1372914.38,1375064.69,60-69,1767,5.070000171661377
