country,admin,esa_id,esa_class,esa_sampled_ha,esa_total_ha,tree_cover_class,tof_ha,hans_ha,tof_mean,hans_mean
Guinea Bissau,Bafatá,10,"Cropland, rainfed",25468.69,27721.46,0-9,7508,5894,56.31999969482422,23.530000686645508
Guinea Bissau,Bafatá,10,"Cropland, rainfed",25468.69,27721.46,10-19,1504,11531,56.31999969482422,23.530000686645508
Guinea Bissau,Bafatá,10,"Cropland, rainfed",25468.69,27721.46,20-29,1376,6143,56.31999969482422,23.530000686645508
Guinea Bissau,Bafatá,10,"Cropland, rainfed",25468.69,27721.46,30-39,1313,5390,56.31999969482422,23.530000686645508
Guinea Bissau,Bafatá,10,"Cropland, rainfed",25468.69,27721.46,40-49,1248,5186,56.31999969482422,23.530000686645508
Guinea Bissau,Bafatá,10,"Cropland, rainfed",25468.69,27721.46,50-59,1435,1043,56.31999969482422,23.530000686645508
Guinea Bissau,Bafatá,10,"Cropland, rainfed",25468.69,27721.46,60-69,1690,12,56.31999969482422,23.530000686645508
Guinea Bissau,Bafatá,10,"Cropland, rainfed",25468.69,27721.46,70-79,2341,1,56.31999969482422,23.530000686645508
Guinea Bissau,Bafatá,10,"Cropland, rainfed",25468.69,27721.46,80-89,4390,0,56.31999969482422,23.530000686645508
Guinea Bissau,Bafatá,10,"Cropland, rainfed",25468.69,27721.46,90-99,9546,0,56.31999969482422,23.530000686645508
Guinea Bissau,Bafatá,11,"Cropland, rainfed",4242.33,4245.06,0-9,440,392,69.77999877929688,29.899999618530273
Guinea Bissau,Bafatá,11,"Cropland, rainfed",4242.33,4245.06,10-19,198,1091,69.77999877929688,29.899999618530273
Guinea Bissau,Bafatá,11,"Cropland, rainfed",4242.33,4245.06,20-29,226,1558,69.77999877929688,29.899999618530273
Guinea Bissau,Bafatá,11,"Cropland, rainfed",4242.33,4245.06,30-39,257,1602,69.77999877929688,29.899999618530273
Guinea Bissau,Bafatá,11,"Cropland, rainfed",4242.33,4245.06,40-49,306,1403,69.77999877929688,29.899999618530273
Guinea Bissau,Bafatá,11,"Cropland, rainfed",4242.33,4245.06,50-59,359,220,69.77999877929688,29.899999618530273
Guinea Bissau,Bafatá,11,"Cropland, rainfed",4242.33,4245.06,60-69,459,8,69.77999877929688,29.899999618530273
Guinea Bissau,Bafatá,11,"Cropland, rainfed",4242.33,4245.06,70-79,658,0,69.77999877929688,29.899999618530273
Guinea Bissau,Bafatá,11,"Cropland, rainfed",4242.33,4245.06,80-89,1171,0,69.77999877929688,29.899999618530273
Guinea Bissau,Bafatá,11,"Cropland, rainfed",4242.33,4245.06,90-99,2200,0,69.77999877929688,29.899999618530273
Guinea Bissau,Bafatá,20,"Cropland, irrigated or post-flooding",3131.94,3151.38,0-9,2219,1335,25.540000915527344,17.350000381469727
Guinea Bissau,Bafatá,20,"Cropland, irrigated or post-flooding",3131.94,3151.38,10-19,300,1266,25.540000915527344,17.350000381469727
Guinea Bissau,Bafatá,20,"Cropland, irrigated or post-flooding",3131.94,3151.38,20-29,192,621,25.540000915527344,17.350000381469727
Guinea Bissau,Bafatá,20,"Cropland, irrigated or post-flooding",3131.94,3151.38,30-39,157,415,25.540000915527344,17.350000381469727
Guinea Bissau,Bafatá,20,"Cropland, irrigated or post-flooding",3131.94,3151.38,40-49,142,266,25.540000915527344,17.350000381469727
Guinea Bissau,Bafatá,20,"Cropland, irrigated or post-flooding",3131.94,3151.38,50-59,146,21,25.540000915527344,17.350000381469727
Guinea Bissau,Bafatá,20,"Cropland, irrigated or post-flooding",3131.94,3151.38,60-69,151,0,25.540000915527344,17.350000381469727
Guinea Bissau,Bafatá,20,"Cropland, irrigated or post-flooding",3131.94,3151.38,70-79,156,0,25.540000915527344,17.350000381469727
Guinea Bissau,Bafatá,20,"Cropland, irrigated or post-flooding",3131.94,3151.38,80-89,175,0,25.540000915527344,17.350000381469727
Guinea Bissau,Bafatá,20,"Cropland, irrigated or post-flooding",3131.94,3151.38,90-99,259,0,25.540000915527344,17.350000381469727
