country,admin,esa_id,esa_class,esa_sampled_ha,esa_total_ha,tree_cover_class,tof_ha,hans_ha,tof_mean,hans_mean
Rwanda,Amajyaruguru,10.0,"Cropland, rainfed",55721.77,58197.5,0-9,38571,9029,17.021013259887695,16.874902725219727
Rwanda,Amajyaruguru,10.0,"Cropland, rainfed",55721.77,58197.5,10-19,11121,46844,17.021013259887695,16.874902725219727
Rwanda,Amajyaruguru,10.0,"Cropland, rainfed",55721.77,58197.5,20-29,5778,9836,17.021013259887695,16.874902725219727
Rwanda,Amajyaruguru,10.0,"Cropland, rainfed",55721.77,58197.5,30-39,3728,2803,17.021013259887695,16.874902725219727
Rwanda,Amajyaruguru,10.0,"Cropland, rainfed",55721.77,58197.5,40-49,2810,1124,17.021013259887695,16.874902725219727
Rwanda,Amajyaruguru,10.0,"Cropland, rainfed",55721.77,58197.5,50-59,2028,390,17.021013259887695,16.874902725219727
Rwanda,Amajyaruguru,10.0,"Cropland, rainfed",55721.77,58197.5,60-69,1538,366,17.021013259887695,16.874902725219727
Rwanda,Amajyaruguru,10.0,"Cropland, rainfed",55721.77,58197.5,70-79,1129,331,17.021013259887695,16.874902725219727
Rwanda,Amajyaruguru,10.0,"Cropland, rainfed",55721.77,58197.5,80-89,813,130,17.021013259887695,16.874902725219727
Rwanda,Amajyaruguru,10.0,"Cropland, rainfed",55721.77,58197.5,90-99,428,62,17.021013259887695,16.874902725219727
Rwanda,Amajyaruguru,11.0,"Cropland, rainfed",165014.73,197025.3,0-9,90997,9898,19.78369903564453,23.25493049621582
Rwanda,Amajyaruguru,11.0,"Cropland, rainfed",165014.73,197025.3,10-19,33210,100896,19.78369903564453,23.25493049621582
Rwanda,Amajyaruguru,11.0,"Cropland, rainfed",165014.73,197025.3,20-29,18885,59575,19.78369903564453,23.25493049621582
Rwanda,Amajyaruguru,11.0,"Cropland, rainfed",165014.73,197025.3,30-39,12817,28689,19.78369903564453,23.25493049621582
Rwanda,Amajyaruguru,11.0,"Cropland, rainfed",165014.73,197025.3,40-49,9255,14007,19.78369903564453,23.25493049621582
Rwanda,Amajyaruguru,11.0,"Cropland, rainfed",165014.73,197025.3,50-59,6722,5029,19.78369903564453,23.25493049621582
Rwanda,Amajyaruguru,11.0,"Cropland, rainfed",165014.73,197025.3,60-69,5063,1409,19.78369903564453,23.25493049621582
Rwanda,Amajyaruguru,11.0,"Cropland, rainfed",165014.73,197025.3,70-79,3877,486,19.78369903564453,23.25493049621582
Rwanda,Amajyaruguru,11.0,"Cropland, rainfed",165014.73,197025.3,80-89,2700,176,19.78369903564453,23.25493049621582
Rwanda,Amajyaruguru,11.0,"Cropland, rainfed",165014.73,197025.3,90-99,1154,38,19.78369903564453,23.25493049621582
Rwanda,Amajyaruguru,12.0,"Cropland, rainfed",207.71,255.76,0-9,268,3,5.674233436584473,40.44711685180664
Rwanda,Amajyaruguru,12.0,"Cropland, rainfed",207.71,255.76,10-19,11,33,5.674233436584473,40.44711685180664
Rwanda,Amajyaruguru,12.0,"Cropland, rainfed",207.71,255.76,20-29,3,67,5.674233436584473,40.44711685180664
Rwanda,Amajyaruguru,12.0,"Cropland, rainfed",207.71,255.76,30-39,3,68,5.674233436584473,40.44711685180664
Rwanda,Amajyaruguru,12.0,"Cropland, rainfed",207.71,255.76,40-49,1,103,5.674233436584473,40.44711685180664
Rwanda,Amajyaruguru,12.0,"Cropland, rainfed",207.71,255.76,50-59,0,66,5.674233436584473,40.44711685180664
Rwanda,Amajyaruguru,12.0,"Cropland, rainfed",207.71,255.76,60-69,1,15,5.674233436584473,40.44711685180664
Rwanda,Amajyaruguru,12.0,"Cropland, rainfed",207.71,255.76,70-79,2,0,5.674233436584473,40.44711685180664
Rwanda,Amajyaruguru,12.0,"Cropland, rainfed",207.71,255.76,80-89,0,0,5.674233436584473,40.44711685180664
Rwanda,Amajyaruguru,12.0,"Cropland, rainfed",207.71,255.76,90-99,0,0,5.674233436584473,40.44711685180664
Rwanda,Amajyaruguru,20.0,"Cropland, irrigated or post-flooding",98.47,132.06,0-9,121,53,7.691706657409668,13.518643379211426
Rwanda,Amajyaruguru,20.0,"Cropland, irrigated or post-flooding",98.47,132.06,10-19,27,85,7.691706657409668,13.518643379211426
Rwanda,Amajyaruguru,20.0,"Cropland, irrigated or post-flooding",98.47,132.06,20-29,6,15,7.691706657409668,13.518643379211426
Rwanda,Amajyaruguru,20.0,"Cropland, irrigated or post-flooding",98.47,132.06,30-39,0,1,7.691706657409668,13.518643379211426
Rwanda,Amajyaruguru,20.0,"Cropland, irrigated or post-flooding",98.47,132.06,40-49,0,0,7.691706657409668,13.518643379211426
Rwanda,Amajyaruguru,20.0,"Cropland, irrigated or post-flooding",98.47,132.06,50-59,0,0,7.691706657409668,13.518643379211426
Rwanda,Amajyaruguru,20.0,"Cropland, irrigated or post-flooding",98.47,132.06,60-69,0,0,7.691706657409668,13.518643379211426
Rwanda,Amajyaruguru,20.0,"Cropland, irrigated or post-flooding",98.47,132.06,70-79,0,0,7.691706657409668,13.518643379211426
Rwanda,Amajyaruguru,20.0,"Cropland, irrigated or post-flooding",98.47,132.06,80-89,0,0,7.691706657409668,13.518643379211426
Rwanda,Amajyaruguru,20.0,"Cropland, irrigated or post-flooding",98.47,132.06,90-99,0,0,7.691706657409668,13.518643379211426
Rwanda,Amajyaruguru,30.0,Mosaic cropland / natural vegetation,888.13,1746.24,0-9,213,14,50.07530975341797,65.48792266845703
Rwanda,Amajyaruguru,30.0,Mosaic cropland / natural vegetation,888.13,1746.24,10-19,108,28,50.07530975341797,65.48792266845703
Rwanda,Amajyaruguru,30.0,Mosaic cropland / natural vegetation,888.13,1746.24,20-29,75,48,50.07530975341797,65.48792266845703
Rwanda,Amajyaruguru,30.0,Mosaic cropland / natural vegetation,888.13,1746.24,30-39,82,47,50.07530975341797,65.48792266845703
Rwanda,Amajyaruguru,30.0,Mosaic cropland / natural vegetation,888.13,1746.24,40-49,93,121,50.07530975341797,65.48792266845703
Rwanda,Amajyaruguru,30.0,Mosaic cropland / natural vegetation,888.13,1746.24,50-59,95,453,50.07530975341797,65.48792266845703
Rwanda,Amajyaruguru,30.0,Mosaic cropland / natural vegetation,888.13,1746.24,60-69,101,685,50.07530975341797,65.48792266845703
Rwanda,Amajyaruguru,30.0,Mosaic cropland / natural vegetation,888.13,1746.24,70-79,128,529,50.07530975341797,65.48792266845703
Rwanda,Amajyaruguru,30.0,Mosaic cropland / natural vegetation,888.13,1746.24,80-89,118,252,50.07530975341797,65.48792266845703
Rwanda,Amajyaruguru,30.0,Mosaic cropland / natural vegetation,888.13,1746.24,90-99,178,99,50.07530975341797,65.48792266845703
Rwanda,Amajyaruguru,40.0,Mosaic natural vegetation / cropland,458.53,1004.1,0-9,262,27,31.638681411743164,38.793426513671875
Rwanda,Amajyaruguru,40.0,Mosaic natural vegetation / cropland,458.53,1004.1,10-19,77,188,31.638681411743164,38.793426513671875
Rwanda,Amajyaruguru,40.0,Mosaic natural vegetation / cropland,458.53,1004.1,20-29,74,360,31.638681411743164,38.793426513671875
Rwanda,Amajyaruguru,40.0,Mosaic natural vegetation / cropland,458.53,1004.1,30-39,45,284,31.638681411743164,38.793426513671875
Rwanda,Amajyaruguru,40.0,Mosaic natural vegetation / cropland,458.53,1004.1,40-49,35,198,31.638681411743164,38.793426513671875
