country,admin,esa_id,esa_class,esa_sampled_ha,esa_total_ha,tree_cover_class,tof_ha,hans_ha,tof_mean,hans_mean
Niger,Dosso,10,"Cropland, rainfed",1060746.75,1120193.47,0-9,826274,1264890,13.739999771118164,4.090000152587891
Niger,Dosso,10,"Cropland, rainfed",1060746.75,1120193.47,10-19,149346,5379,13.739999771118164,4.090000152587891
Niger,Dosso,10,"Cropland, rainfed",1060746.75,1120193.47,20-29,61005,1,13.739999771118164,4.090000152587891
Niger,Dosso,10,"Cropland, rainfed",1060746.75,1120193.47,30-39,43575,0,13.739999771118164,4.090000152587891
Niger,Dosso,10,"Cropland, rainfed",1060746.75,1120193.47,40-49,38161,0,13.739999771118164,4.090000152587891
Niger,Dosso,10,"Cropland, rainfed",1060746.75,1120193.47,50-59,33917,0,13.739999771118164,4.090000152587891
Niger,Dosso,10,"Cropland, rainfed",1060746.75,1120193.47,60-69,26779,0,13.739999771118164,4.090000152587891
Niger,Dosso,10,"Cropland, rainfed",1060746.75,1120193.47,70-79,15167,0,13.739999771118164,4.090000152587891
Niger,Dosso,10,"Cropland, rainfed",1060746.75,1120193.47,80-89,6057,0,13.739999771118164,4.090000152587891
Niger,Dosso,10,"Cropland, rainfed",1060746.75,1120193.47,90-99,1009,0,13.739999771118164,4.090000152587891
Niger,Dosso,11,"Cropland, rainfed",111260.93,115583.21,0-9,84084,144488,15.5600004196167,4.070000171661377
Niger,Dosso,11,"Cropland, rainfed",111260.93,115583.21,10-19,21567,296,15.5600004196167,4.070000171661377
Niger,Dosso,11,"Cropland, rainfed",111260.93,115583.21,20-29,10318,0,15.5600004196167,4.070000171661377
Niger,Dosso,11,"Cropland, rainfed",111260.93,115583.21,30-39,7581,0,15.5600004196167,4.070000171661377
Niger,Dosso,11,"Cropland, rainfed",111260.93,115583.21,40-49,6144,0,15.5600004196167,4.070000171661377
Niger,Dosso,11,"Cropland, rainfed",111260.93,115583.21,50-59,4559,0,15.5600004196167,4.070000171661377
Niger,Dosso,11,"Cropland, rainfed",111260.93,115583.21,60-69,2950,0,15.5600004196167,4.070000171661377
Niger,Dosso,11,"Cropland, rainfed",111260.93,115583.21,70-79,1666,0,15.5600004196167,4.070000171661377
Niger,Dosso,11,"Cropland, rainfed",111260.93,115583.21,80-89,626,0,15.5600004196167,4.070000171661377
Niger,Dosso,11,"Cropland, rainfed",111260.93,115583.21,90-99,124,0,15.5600004196167,4.070000171661377
Niger,Dosso,20,"Cropland, irrigated or post-flooding",27915.02,29957.51,0-9,28633,37162,8.680000305175781,4.260000228881836
Niger,Dosso,20,"Cropland, irrigated or post-flooding",27915.02,29957.51,10-19,3354,362,8.680000305175781,4.260000228881836
Niger,Dosso,20,"Cropland, irrigated or post-flooding",27915.02,29957.51,20-29,1296,0,8.680000305175781,4.260000228881836
Niger,Dosso,20,"Cropland, irrigated or post-flooding",27915.02,29957.51,30-39,762,0,8.680000305175781,4.260000228881836
Niger,Dosso,20,"Cropland, irrigated or post-flooding",27915.02,29957.51,40-49,470,0,8.680000305175781,4.260000228881836
Niger,Dosso,20,"Cropland, irrigated or post-flooding",27915.02,29957.51,50-59,331,0,8.680000305175781,4.260000228881836
Niger,Dosso,20,"Cropland, irrigated or post-flooding",27915.02,29957.51,60-69,189,0,8.680000305175781,4.260000228881836
Niger,Dosso,20,"Cropland, irrigated or post-flooding",27915.02,29957.51,70-79,90,0,8.680000305175781,4.260000228881836
Niger,Dosso,20,"Cropland, irrigated or post-flooding",27915.02,29957.51,80-89,60,0,8.680000305175781,4.260000228881836
Niger,Dosso,20,"Cropland, irrigated or post-flooding",27915.02,29957.51,90-99,29,0,8.680000305175781,4.260000228881836
Niger,Dosso,30,Mosaic cropland / natural vegetation,483874.5,529724.43,0-9,512672,656207,7.429999828338623,4.0
Niger,Dosso,30,Mosaic cropland / natural vegetation,483874.5,529724.43,10-19,60841,102,7.429999828338623,4.0
Niger,Dosso,30,Mosaic cropland / natural vegetation,483874.5,529724.43,20-29,13854,0,7.429999828338623,4.0
Niger,Dosso,30,Mosaic cropland / natural vegetation,483874.5,529724.43,30-39,6037,0,7.429999828338623,4.0
Niger,Dosso,30,Mosaic cropland / natural vegetation,483874.5,529724.43,40-49,3545,0,7.429999828338623,4.0
Niger,Dosso,30,Mosaic cropland / natural vegetation,483874.5,529724.43,50-59,2014,0,7.429999828338623,4.0
Niger,Dosso,30,Mosaic cropland / natural vegetation,483874.5,529724.43,60-69,1110,0,7.429999828338623,4.0
Niger,Dosso,30,Mosaic cropland / natural vegetation,483874.5,529724.43,70-79,597,0,7.429999828338623,4.0
Niger,Dosso,30,Mosaic cropland / natural vegetation,483874.5,529724.43,80-89,336,0,7.429999828338623,4.0
Niger,Dosso,30,Mosaic cropland / natural vegetation,483874.5,529724.43,90-99,127,0,7.429999828338623,4.0
Niger,Dosso,40,Mosaic natural vegetation / cropland,414365.85,430453.29,0-9,456394,528478,6.539999961853027,4.0
Niger,Dosso,40,Mosaic natural vegetation / cropland,414365.85,430453.29,10-19,37517,47,6.539999961853027,4.0
Niger,Dosso,40,Mosaic natural vegetation / cropland,414365.85,430453.29,20-29,7614,0,6.539999961853027,4.0
Niger,Dosso,40,Mosaic natural vegetation / cropland,414365.85,430453.29,30-39,3098,0,6.539999961853027,4.0
Niger,Dosso,40,Mosaic natural vegetation / cropland,414365.85,430453.29,40-49,1532,0,6.539999961853027,4.0
Niger,Dosso,40,Mosaic natural vegetation / cropland,414365.85,430453.29,50-59,870,0,6.539999961853027,4.0
Niger,Dosso,40,Mosaic natural vegetation / cropland,414365.85,430453.29,60-69,532,0,6.539999961853027,4.0
Niger,Dosso,40,Mosaic natural vegetation / cropland,414365.85,430453.29,70-79,271,0,6.539999961853027,4.0
Niger,Dosso,40,Mosaic natural vegetation / cropland,414365.85,430453.29,80-89,128,0,6.539999961853027,4.0
Niger,Dosso,40,Mosaic natural vegetation / cropland,414365.85,430453.29,90-99,56,0,6.539999961853027,4.0
Niger,Dosso,100,Mosaic tree and shrub / herbaceous cover,2016.98,2174.1,0-9,2602,3099,6.130000114440918,4.0
Niger,Dosso,100,Mosaic tree and shrub / herbaceous cover,2016.98,2174.1,10-19,191,0,6.130000114440918,4.0
Niger,Dosso,100,Mosaic tree and shrub / herbaceous cover,2016.98,2174.1,20-29,46,0,6.130000114440918,4.0
Niger,Dosso,100,Mosaic tree and shrub / herbaceous cover,2016.98,2174.1,30-39,17,0,6.130000114440918,4.0
Niger,Dosso,100,Mosaic tree and shrub / herbaceous cover,2016.98,2174.1,40-49,5,0,6.130000114440918,4.0
Niger,Dosso,100,Mosaic tree and shrub / herbaceous cover,2016.98,2174.1,50-59,5,0,6.130000114440918,4.0
Niger,Dosso,100,Mosaic tree and shrub / herbaceous cover,2016.98,2174.1,60-69,0,0,6.130000114440918,4.0
Niger,Dosso,100,Mosaic tree and shrub / herbaceous cover,2016.98,2174.1,70-79,2,0,6.130000114440918,4.0
Niger,Dosso,100,Mosaic tree and shrub / herbaceous cover,2016.98,2174.1,80-89,0,0,6.130000114440918,4.0
Niger,Dosso,100,Mosaic tree and shrub / herbaceous cover,2016.98,2174.1,90-99,0,0,6.130000114440918,4.0
Niger,Dosso,110,Mosaic herbaceous cover / tree and shrub,489.39,516.69,0-9,626,716,5.809999942779541,4.0
Niger,Dosso,110,Mosaic herbaceous cover / tree and shrub,489.39,516.69,10-19,25,0,5.809999942779541,4.0
Niger,Dosso,110,Mosaic herbaceous cover / tree and shrub,489.39,516.69,20-29,13,0,5.809999942779541,4.0
Niger,Dosso,110,Mosaic herbaceous cover / tree and shrub,489.39,516.69,30-39,11,0,5.809999942779541,4.0
Niger,Dosso,110,Mosaic herbaceous cover / tree and shrub,489.39,516.69,40-49,1,0,5.809999942779541,4.0
Niger,Dosso,110,Mosaic herbaceous cover / tree and shrub,489.39,516.69,50-59,0,0,5.809999942779541,4.0
Niger,Dosso,110,Mosaic herbaceous cover / tree and shrub,489.39,516.69,60-69,0,0,5.809999942779541,4.0
Niger,Dosso,110,Mosaic herbaceous cover / tree and shrub,489.39,516.69,70-79,0,0,5.809999942779541,4.0
Niger,Dosso,110,Mosaic herbaceous cover / tree and shrub,489.39,516.69,80-89,0,0,5.809999942779541,4.0
Niger,Dosso,110,Mosaic herbaceous cover / tree and shrub,489.39,516.69,90-99,0,0,5.809999942779541,4.0
Niger,Dosso,120,Shrubland,5062.45,6000.66,0-9,6006,8351,7.599999904632568,4.190000057220459
Niger,Dosso,120,Shrubland,5062.45,6000.66,10-19,663,71,7.599999904632568,4.190000057220459
Niger,Dosso,120,Shrubland,5062.45,6000.66,20-29,237,1,7.599999904632568,4.190000057220459
Niger,Dosso,120,Shrubland,5062.45,6000.66,30-39,106,0,7.599999904632568,4.190000057220459
Niger,Dosso,120,Shrubland,5062.45,6000.66,40-49,66,0,7.599999904632568,4.190000057220459
Niger,Dosso,120,Shrubland,5062.45,6000.66,50-59,30,0,7.599999904632568,4.190000057220459
Niger,Dosso,120,Shrubland,5062.45,6000.66,60-69,22,0,7.599999904632568,4.190000057220459
Niger,Dosso,120,Shrubland,5062.45,6000.66,70-79,15,0,7.599999904632568,4.190000057220459
Niger,Dosso,120,Shrubland,5062.45,6000.66,80-89,8,0,7.599999904632568,4.190000057220459
Niger,Dosso,120,Shrubland,5062.45,6000.66,90-99,2,0,7.599999904632568,4.190000057220459
Niger,Dosso,130,Grassland,648598.56,691234.01,0-9,643383,815820,7.710000038146973,4.0
Niger,Dosso,130,Grassland,648598.56,691234.01,10-19,74650,0,7.710000038146973,4.0
Niger,Dosso,130,Grassland,648598.56,691234.01,20-29,23884,0,7.710000038146973,4.0
Niger,Dosso,130,Grassland,648598.56,691234.01,30-39,11365,0,7.710000038146973,4.0
Niger,Dosso,130,Grassland,648598.56,691234.01,40-49,6299,0,7.710000038146973,4.0
Niger,Dosso,130,Grassland,648598.56,691234.01,50-59,3368,0,7.710000038146973,4.0
Niger,Dosso,130,Grassland,648598.56,691234.01,60-69,1753,0,7.710000038146973,4.0
Niger,Dosso,130,Grassland,648598.56,691234.01,70-79,999,0,7.710000038146973,4.0
Niger,Dosso,130,Grassland,648598.56,691234.01,80-89,591,0,7.710000038146973,4.0
Niger,Dosso,130,Grassland,648598.56,691234.01,90-99,177,0,7.710000038146973,4.0
Niger,Dosso,150,Sparse vegetation,51505.14,52046.24,0-9,63555,68840,5.579999923706055,4.0
Niger,Dosso,150,Sparse vegetation,51505.14,52046.24,10-19,2710,0,5.579999923706055,4.0
Niger,Dosso,150,Sparse vegetation,51505.14,52046.24,20-29,897,0,5.579999923706055,4.0
Niger,Dosso,150,Sparse vegetation,51505.14,52046.24,30-39,451,0,5.579999923706055,4.0
Niger,Dosso,150,Sparse vegetation,51505.14,52046.24,40-49,245,0,5.579999923706055,4.0
Niger,Dosso,150,Sparse vegetation,51505.14,52046.24,50-59,144,0,5.579999923706055,4.0
Niger,Dosso,150,Sparse vegetation,51505.14,52046.24,60-69,99,0,5.579999923706055,4.0
Niger,Dosso,150,Sparse vegetation,51505.14,52046.24,70-79,53,0,5.579999923706055,4.0
Niger,Dosso,150,Sparse vegetation,51505.14,52046.24,80-89,33,0,5.579999923706055,4.0
Niger,Dosso,150,Sparse vegetation,51505.14,52046.24,90-99,6,0,5.579999923706055,4.0
Niger,Dosso,152,Sparse vegetation,101.41,147.62,0-9,124,223,9.239999771118164,4.0
Niger,Dosso,152,Sparse vegetation,101.41,147.62,10-19,13,0,9.239999771118164,4.0
Niger,Dosso,152,Sparse vegetation,101.41,147.62,20-29,7,0,9.239999771118164,4.0
Niger,Dosso,152,Sparse vegetation,101.41,147.62,30-39,5,0,9.239999771118164,4.0
Niger,Dosso,152,Sparse vegetation,101.41,147.62,40-49,3,0,9.239999771118164,4.0
Niger,Dosso,152,Sparse vegetation,101.41,147.62,50-59,1,0,9.239999771118164,4.0
Niger,Dosso,152,Sparse vegetation,101.41,147.62,60-69,2,0,9.239999771118164,4.0
Niger,Dosso,152,Sparse vegetation,101.41,147.62,70-79,0,0,9.239999771118164,4.0
Niger,Dosso,152,Sparse vegetation,101.41,147.62,80-89,0,0,9.239999771118164,4.0
Niger,Dosso,152,Sparse vegetation,101.41,147.62,90-99,0,0,9.239999771118164,4.0
Niger,Dosso,153,Sparse vegetation,99721.03,101639.07,0-9,111750,122287,5.739999771118164,4.0
Niger,Dosso,153,Sparse vegetation,99721.03,101639.07,10-19,4506,0,5.739999771118164,4.0
Niger,Dosso,153,Sparse vegetation,99721.03,101639.07,20-29,1611,0,5.739999771118164,4.0
Niger,Dosso,153,Sparse vegetation,99721.03,101639.07,30-39,925,0,5.739999771118164,4.0
Niger,Dosso,153,Sparse vegetation,99721.03,101639.07,40-49,530,0,5.739999771118164,4.0
Niger,Dosso,153,Sparse vegetation,99721.03,101639.07,50-59,303,0,5.739999771118164,4.0
Niger,Dosso,153,Sparse vegetation,99721.03,101639.07,60-69,183,0,5.739999771118164,4.0
Niger,Dosso,153,Sparse vegetation,99721.03,101639.07,70-79,119,0,5.739999771118164,4.0
Niger,Dosso,153,Sparse vegetation,99721.03,101639.07,80-89,69,0,5.739999771118164,4.0
Niger,Dosso,153,Sparse vegetation,99721.03,101639.07,90-99,28,0,5.739999771118164,4.0
Niger,Dosso,180,"Shrub or herbaceous cover, flooded, fresh/saline/brakish water",36.91,36.91,0-9,62,62,4.039999961853027,4.039999961853027
Niger,Dosso,180,"Shrub or herbaceous cover, flooded, fresh/saline/brakish water",36.91,36.91,10-19,0,0,4.039999961853027,4.039999961853027
Niger,Dosso,180,"Shrub or herbaceous cover, flooded, fresh/saline/brakish water",36.91,36.91,20-29,0,0,4.039999961853027,4.039999961853027
Niger,Dosso,180,"Shrub or herbaceous cover, flooded, fresh/saline/brakish water",36.91,36.91,30-39,0,0,4.039999961853027,4.039999961853027
Niger,Dosso,180,"Shrub or herbaceous cover, flooded, fresh/saline/brakish water",36.91,36.91,40-49,0,0,4.039999961853027,4.039999961853027
Niger,Dosso,180,"Shrub or herbaceous cover, flooded, fresh/saline/brakish water",36.91,36.91,50-59,0,0,4.039999961853027,4.039999961853027
Niger,Dosso,180,"Shrub or herbaceous cover, flooded, fresh/saline/brakish water",36.91,36.91,60-69,0,0,4.039999961853027,4.039999961853027
Niger,Dosso,180,"Shrub or herbaceous cover, flooded, fresh/saline/brakish water",36.91,36.91,70-79,0,0,4.039999961853027,4.039999961853027
Niger,Dosso,180,"Shrub or herbaceous cover, flooded, fresh/saline/brakish water",36.91,36.91,80-89,0,0,4.039999961853027,4.039999961853027
Niger,Dosso,180,"Shrub or herbaceous cover, flooded, fresh/saline/brakish water",36.91,36.91,90-99,0,0,4.039999961853027,4.039999961853027
Niger,Dosso,190,Urban areas,1238.91,1266.51,0-9,350,1494,20.6200008392334,4.0
Niger,Dosso,190,Urban areas,1238.91,1266.51,10-19,458,0,20.6200008392334,4.0
Niger,Dosso,190,Urban areas,1238.91,1266.51,20-29,290,0,20.6200008392334,4.0
Niger,Dosso,190,Urban areas,1238.91,1266.51,30-39,226,0,20.6200008392334,4.0
Niger,Dosso,190,Urban areas,1238.91,1266.51,40-49,98,0,20.6200008392334,4.0
Niger,Dosso,190,Urban areas,1238.91,1266.51,50-59,32,0,20.6200008392334,4.0
Niger,Dosso,190,Urban areas,1238.91,1266.51,60-69,3,0,20.6200008392334,4.0
Niger,Dosso,190,Urban areas,1238.91,1266.51,70-79,0,0,20.6200008392334,4.0
Niger,Dosso,190,Urban areas,1238.91,1266.51,80-89,0,0,20.6200008392334,4.0
Niger,Dosso,190,Urban areas,1238.91,1266.51,90-99,0,0,20.6200008392334,4.0
Niger,Dosso,200,Bare areas,53907.19,54101.57,0-9,60799,63015,4.840000152587891,4.0
Niger,Dosso,200,Bare areas,53907.19,54101.57,10-19,1232,0,4.840000152587891,4.0
Niger,Dosso,200,Bare areas,53907.19,54101.57,20-29,446,0,4.840000152587891,4.0
Niger,Dosso,200,Bare areas,53907.19,54101.57,30-39,200,0,4.840000152587891,4.0
Niger,Dosso,200,Bare areas,53907.19,54101.57,40-49,135,0,4.840000152587891,4.0
Niger,Dosso,200,Bare areas,53907.19,54101.57,50-59,90,0,4.840000152587891,4.0
Niger,Dosso,200,Bare areas,53907.19,54101.57,60-69,35,0,4.840000152587891,4.0
Niger,Dosso,200,Bare areas,53907.19,54101.57,70-79,30,0,4.840000152587891,4.0
Niger,Dosso,200,Bare areas,53907.19,54101.57,80-89,15,0,4.840000152587891,4.0
Niger,Dosso,200,Bare areas,53907.19,54101.57,90-99,3,0,4.840000152587891,4.0
Niger,Dosso,210,Water bodies,4304.66,4737.44,0-9,5768,6190,5.329999923706055,4.099999904632568
Niger,Dosso,210,Water bodies,4304.66,4737.44,10-19,235,21,5.329999923706055,4.099999904632568
Niger,Dosso,210,Water bodies,4304.66,4737.44,20-29,79,0,5.329999923706055,4.099999904632568
Niger,Dosso,210,Water bodies,4304.66,4737.44,30-39,36,0,5.329999923706055,4.099999904632568
Niger,Dosso,210,Water bodies,4304.66,4737.44,40-49,21,0,5.329999923706055,4.099999904632568
Niger,Dosso,210,Water bodies,4304.66,4737.44,50-59,9,0,5.329999923706055,4.099999904632568
Niger,Dosso,210,Water bodies,4304.66,4737.44,60-69,6,0,5.329999923706055,4.099999904632568
Niger,Dosso,210,Water bodies,4304.66,4737.44,70-79,3,0,5.329999923706055,4.099999904632568
Niger,Dosso,210,Water bodies,4304.66,4737.44,80-89,1,0,5.329999923706055,4.099999904632568
Niger,Dosso,210,Water bodies,4304.66,4737.44,90-99,0,0,5.329999923706055,4.099999904632568
Niger,Dosso,255,No Data (flag),2911.77,4337524.55,0-9,6538,10328,9.880000114440918,4.050000190734863
Niger,Dosso,255,No Data (flag),2911.77,4337524.55,10-19,467,30,9.880000114440918,4.050000190734863
Niger,Dosso,255,No Data (flag),2911.77,4337524.55,20-29,240,0,9.880000114440918,4.050000190734863
Niger,Dosso,255,No Data (flag),2911.77,4337524.55,30-39,174,0,9.880000114440918,4.050000190734863
Niger,Dosso,255,No Data (flag),2911.77,4337524.55,40-49,159,0,9.880000114440918,4.050000190734863
Niger,Dosso,255,No Data (flag),2911.77,4337524.55,50-59,126,0,9.880000114440918,4.050000190734863
Niger,Dosso,255,No Data (flag),2911.77,4337524.55,60-69,104,0,9.880000114440918,4.050000190734863
Niger,Dosso,255,No Data (flag),2911.77,4337524.55,70-79,73,0,9.880000114440918,4.050000190734863
Niger,Dosso,255,No Data (flag),2911.77,4337524.55,80-89,38,0,9.880000114440918,4.050000190734863
Niger,Dosso,255,No Data (flag),2911.77,4337524.55,90-99,17,0,9.880000114440918,4.050000190734863
Niger,Tillabéry,10,"Cropland, rainfed",873362.02,921955.88,0-9,587478,1086963,16.81999969482422,4.159999847412109
Niger,Tillabéry,10,"Cropland, rainfed",873362.02,921955.88,10-19,171653,11736,16.81999969482422,4.159999847412109
Niger,Tillabéry,10,"Cropland, rainfed",873362.02,921955.88,20-29,93798,50,16.81999969482422,4.159999847412109
Niger,Tillabéry,10,"Cropland, rainfed",873362.02,921955.88,30-39,63855,2,16.81999969482422,4.159999847412109
Niger,Tillabéry,10,"Cropland, rainfed",873362.02,921955.88,40-49,46351,0,16.81999969482422,4.159999847412109
Niger,Tillabéry,10,"Cropland, rainfed",873362.02,921955.88,50-59,33540,0,16.81999969482422,4.159999847412109
Niger,Tillabéry,10,"Cropland, rainfed",873362.02,921955.88,60-69,23442,0,16.81999969482422,4.159999847412109
Niger,Tillabéry,10,"Cropland, rainfed",873362.02,921955.88,70-79,15487,0,16.81999969482422,4.159999847412109
Niger,Tillabéry,10,"Cropland, rainfed",873362.02,921955.88,80-89,8915,0,16.81999969482422,4.159999847412109
Niger,Tillabéry,10,"Cropland, rainfed",873362.02,921955.88,90-99,2575,0,16.81999969482422,4.159999847412109
