country,admin,esa_id,esa_class,esa_sampled_ha,esa_total_ha,tree_cover_class,tof_ha,tof_mean
Nigeria,Abia,10,"Cropland, rainfed",150293.36,159008.85,0-9,25770,50.060001373291016
Nigeria,Abia,10,"Cropland, rainfed",150293.36,159008.85,10-19,18751,50.060001373291016
Nigeria,Abia,10,"Cropland, rainfed",150293.36,159008.85,20-29,15339,50.060001373291016
Nigeria,Abia,10,"Cropland, rainfed",150293.36,159008.85,30-39,14873,50.060001373291016
Nigeria,Abia,10,"Cropland, rainfed",150293.36,159008.85,40-49,14586,50.060001373291016
Nigeria,Abia,10,"Cropland, rainfed",150293.36,159008.85,50-59,14830,50.060001373291016
Nigeria,Abia,10,"Cropland, rainfed",150293.36,159008.85,60-69,15460,50.060001373291016
Nigeria,Abia,10,"Cropland, rainfed",150293.36,159008.85,70-79,16660,50.060001373291016
Nigeria,Abia,10,"Cropland, rainfed",150293.36,159008.85,80-89,19929,50.060001373291016
Nigeria,Abia,10,"Cropland, rainfed",150293.36,159008.85,90-99,25052,50.060001373291016
Nigeria,Abia,11,"Cropland, rainfed",1729.69,2460.8,0-9,365,53.18000030517578
Nigeria,Abia,11,"Cropland, rainfed",1729.69,2460.8,10-19,215,53.18000030517578
Nigeria,Abia,11,"Cropland, rainfed",1729.69,2460.8,20-29,189,53.18000030517578
Nigeria,Abia,11,"Cropland, rainfed",1729.69,2460.8,30-39,189,53.18000030517578
Nigeria,Abia,11,"Cropland, rainfed",1729.69,2460.8,40-49,167,53.18000030517578
Nigeria,Abia,11,"Cropland, rainfed",1729.69,2460.8,50-59,186,53.18000030517578
Nigeria,Abia,11,"Cropland, rainfed",1729.69,2460.8,60-69,211,53.18000030517578
Nigeria,Abia,11,"Cropland, rainfed",1729.69,2460.8,70-79,206,53.18000030517578
Nigeria,Abia,11,"Cropland, rainfed",1729.69,2460.8,80-89,275,53.18000030517578
Nigeria,Abia,11,"Cropland, rainfed",1729.69,2460.8,90-99,495,53.18000030517578
Nigeria,Abia,30,Mosaic cropland / natural vegetation,77973.05,80596.75,0-9,12957,52.400001525878906
Nigeria,Abia,30,Mosaic cropland / natural vegetation,77973.05,80596.75,10-19,9895,52.400001525878906
Nigeria,Abia,30,Mosaic cropland / natural vegetation,77973.05,80596.75,20-29,8605,52.400001525878906
Nigeria,Abia,30,Mosaic cropland / natural vegetation,77973.05,80596.75,30-39,8348,52.400001525878906
Nigeria,Abia,30,Mosaic cropland / natural vegetation,77973.05,80596.75,40-49,8377,52.400001525878906
Nigeria,Abia,30,Mosaic cropland / natural vegetation,77973.05,80596.75,50-59,8612,52.400001525878906
Nigeria,Abia,30,Mosaic cropland / natural vegetation,77973.05,80596.75,60-69,9034,52.400001525878906
Nigeria,Abia,30,Mosaic cropland / natural vegetation,77973.05,80596.75,70-79,9814,52.400001525878906
Nigeria,Abia,30,Mosaic cropland / natural vegetation,77973.05,80596.75,80-89,11842,52.400001525878906
Nigeria,Abia,30,Mosaic cropland / natural vegetation,77973.05,80596.75,90-99,16653,52.400001525878906
Nigeria,Abia,40,Mosaic natural vegetation / cropland,86020.32,88763.26,0-9,13096,52.36000061035156
Nigeria,Abia,40,Mosaic natural vegetation / cropland,86020.32,88763.26,10-19,10705,52.36000061035156
Nigeria,Abia,40,Mosaic natural vegetation / cropland,86020.32,88763.26,20-29,9438,52.36000061035156
Nigeria,Abia,40,Mosaic natural vegetation / cropland,86020.32,88763.26,30-39,9391,52.36000061035156
Nigeria,Abia,40,Mosaic natural vegetation / cropland,86020.32,88763.26,40-49,9437,52.36000061035156
Nigeria,Abia,40,Mosaic natural vegetation / cropland,86020.32,88763.26,50-59,9603,52.36000061035156
Nigeria,Abia,40,Mosaic natural vegetation / cropland,86020.32,88763.26,60-69,10205,52.36000061035156
Nigeria,Abia,40,Mosaic natural vegetation / cropland,86020.32,88763.26,70-79,10914,52.36000061035156
Nigeria,Abia,40,Mosaic natural vegetation / cropland,86020.32,88763.26,80-89,12862,52.36000061035156
Nigeria,Abia,40,Mosaic natural vegetation / cropland,86020.32,88763.26,90-99,16825,52.36000061035156
Nigeria,Abia,50,"Tree cover, broadleaved, evergreen",43369.86,47267.35,0-9,1051,73.7300033569336
Nigeria,Abia,50,"Tree cover, broadleaved, evergreen",43369.86,47267.35,10-19,1317,73.7300033569336
Nigeria,Abia,50,"Tree cover, broadleaved, evergreen",43369.86,47267.35,20-29,1773,73.7300033569336
