country,admin,esa_id,esa_class,esa_sampled_ha,esa_total_ha,tree_cover_class,tof_ha,tof_mean
South Sudan,Central Equatoria,10,"Cropland, rainfed",16639.58,16731.68,0-9,11448,14.65999984741211
South Sudan,Central Equatoria,10,"Cropland, rainfed",16639.58,16731.68,10-19,5058,14.65999984741211
South Sudan,Central Equatoria,10,"Cropland, rainfed",16639.58,16731.68,20-29,2143,14.65999984741211
South Sudan,Central Equatoria,10,"Cropland, rainfed",16639.58,16731.68,30-39,1175,14.65999984741211
South Sudan,Central Equatoria,10,"Cropland, rainfed",16639.58,16731.68,40-49,680,14.65999984741211
South Sudan,Central Equatoria,10,"Cropland, rainfed",16639.58,16731.68,50-59,345,14.65999984741211
South Sudan,Central Equatoria,10,"Cropland, rainfed",16639.58,16731.68,60-69,212,14.65999984741211
South Sudan,Central Equatoria,10,"Cropland, rainfed",16639.58,16731.68,70-79,152,14.65999984741211
South Sudan,Central Equatoria,10,"Cropland, rainfed",16639.58,16731.68,80-89,64,14.65999984741211
South Sudan,Central Equatoria,10,"Cropland, rainfed",16639.58,16731.68,90-99,30,14.65999984741211
South Sudan,Central Equatoria,11,"Cropland, rainfed",28.83,28.83,0-9,14,24.280000686645508
South Sudan,Central Equatoria,11,"Cropland, rainfed",28.83,28.83,10-19,7,24.280000686645508
South Sudan,Central Equatoria,11,"Cropland, rainfed",28.83,28.83,20-29,6,24.280000686645508
South Sudan,Central Equatoria,11,"Cropland, rainfed",28.83,28.83,30-39,7,24.280000686645508
South Sudan,Central Equatoria,11,"Cropland, rainfed",28.83,28.83,40-49,6,24.280000686645508
South Sudan,Central Equatoria,11,"Cropland, rainfed",28.83,28.83,50-59,2,24.280000686645508
South Sudan,Central Equatoria,11,"Cropland, rainfed",28.83,28.83,60-69,2,24.280000686645508
South Sudan,Central Equatoria,11,"Cropland, rainfed",28.83,28.83,70-79,0,24.280000686645508
South Sudan,Central Equatoria,11,"Cropland, rainfed",28.83,28.83,80-89,0,24.280000686645508
South Sudan,Central Equatoria,11,"Cropland, rainfed",28.83,28.83,90-99,0,24.280000686645508
South Sudan,Central Equatoria,30,Mosaic cropland / natural vegetation,56462.04,58571.29,0-9,28711,22.950000762939453
South Sudan,Central Equatoria,30,Mosaic cropland / natural vegetation,56462.04,58571.29,10-19,15041,22.950000762939453
South Sudan,Central Equatoria,30,Mosaic cropland / natural vegetation,56462.04,58571.29,20-29,8559,22.950000762939453
South Sudan,Central Equatoria,30,Mosaic cropland / natural vegetation,56462.04,58571.29,30-39,5716,22.950000762939453
South Sudan,Central Equatoria,30,Mosaic cropland / natural vegetation,56462.04,58571.29,40-49,4226,22.950000762939453
South Sudan,Central Equatoria,30,Mosaic cropland / natural vegetation,56462.04,58571.29,50-59,3167,22.950000762939453
South Sudan,Central Equatoria,30,Mosaic cropland / natural vegetation,56462.04,58571.29,60-69,2475,22.950000762939453
South Sudan,Central Equatoria,30,Mosaic cropland / natural vegetation,56462.04,58571.29,70-79,1925,22.950000762939453
South Sudan,Central Equatoria,30,Mosaic cropland / natural vegetation,56462.04,58571.29,80-89,1626,22.950000762939453
South Sudan,Central Equatoria,30,Mosaic cropland / natural vegetation,56462.04,58571.29,90-99,690,22.950000762939453
South Sudan,Central Equatoria,40,Mosaic natural vegetation / cropland,19794.77,19867.15,0-9,14343,16.139999389648438
