country,admin,esa_id,esa_class,esa_sampled_ha,esa_total_ha,tree_cover_class,tof_ha,tof_mean
Eritrea,Anseba,10,"Cropland, rainfed",89934.01,91365.73,0-9,57165,16.389999389648438
Eritrea,Anseba,10,"Cropland, rainfed",89934.01,91365.73,10-19,23238,16.389999389648438
Eritrea,Anseba,10,"Cropland, rainfed",89934.01,91365.73,20-29,12716,16.389999389648438
Eritrea,Anseba,10,"Cropland, rainfed",89934.01,91365.73,30-39,7659,16.389999389648438
Eritrea,Anseba,10,"Cropland, rainfed",89934.01,91365.73,40-49,4781,16.389999389648438
Eritrea,Anseba,10,"Cropland, rainfed",89934.01,91365.73,50-59,2938,16.389999389648438
Eritrea,Anseba,10,"Cropland, rainfed",89934.01,91365.73,60-69,1756,16.389999389648438
Eritrea,Anseba,10,"Cropland, rainfed",89934.01,91365.73,70-79,1004,16.389999389648438
Eritrea,Anseba,10,"Cropland, rainfed",89934.01,91365.73,80-89,435,16.389999389648438
Eritrea,Anseba,10,"Cropland, rainfed",89934.01,91365.73,90-99,123,16.389999389648438
Eritrea,Anseba,11,"Cropland, rainfed",2750.13,2783.35,0-9,2782,9.619999885559082
Eritrea,Anseba,11,"Cropland, rainfed",2750.13,2783.35,10-19,555,9.619999885559082
Eritrea,Anseba,11,"Cropland, rainfed",2750.13,2783.35,20-29,223,9.619999885559082
Eritrea,Anseba,11,"Cropland, rainfed",2750.13,2783.35,30-39,105,9.619999885559082
Eritrea,Anseba,11,"Cropland, rainfed",2750.13,2783.35,40-49,45,9.619999885559082
Eritrea,Anseba,11,"Cropland, rainfed",2750.13,2783.35,50-59,30,9.619999885559082
Eritrea,Anseba,11,"Cropland, rainfed",2750.13,2783.35,60-69,17,9.619999885559082
Eritrea,Anseba,11,"Cropland, rainfed",2750.13,2783.35,70-79,4,9.619999885559082
Eritrea,Anseba,11,"Cropland, rainfed",2750.13,2783.35,80-89,3,9.619999885559082
Eritrea,Anseba,11,"Cropland, rainfed",2750.13,2783.35,90-99,0,9.619999885559082
Eritrea,Anseba,20,"Cropland, irrigated or post-flooding",9455.24,9980.55,0-9,7601,14.15999984741211
Eritrea,Anseba,20,"Cropland, irrigated or post-flooding",9455.24,9980.55,10-19,2151,14.15999984741211
Eritrea,Anseba,20,"Cropland, irrigated or post-flooding",9455.24,9980.55,20-29,1099,14.15999984741211
Eritrea,Anseba,20,"Cropland, irrigated or post-flooding",9455.24,9980.55,30-39,626,14.15999984741211
Eritrea,Anseba,20,"Cropland, irrigated or post-flooding",9455.24,9980.55,40-49,400,14.15999984741211
Eritrea,Anseba,20,"Cropland, irrigated or post-flooding",9455.24,9980.55,50-59,252,14.15999984741211
Eritrea,Anseba,20,"Cropland, irrigated or post-flooding",9455.24,9980.55,60-69,164,14.15999984741211
Eritrea,Anseba,20,"Cropland, irrigated or post-flooding",9455.24,9980.55,70-79,84,14.15999984741211
Eritrea,Anseba,20,"Cropland, irrigated or post-flooding",9455.24,9980.55,80-89,59,14.15999984741211
Eritrea,Anseba,20,"Cropland, irrigated or post-flooding",9455.24,9980.55,90-99,56,14.15999984741211
Eritrea,Anseba,30,Mosaic cropland / natural vegetation,51176.33,53074.12,0-9,36289,16.34000015258789
Eritrea,Anseba,30,Mosaic cropland / natural vegetation,51176.33,53074.12,10-19,12066,16.34000015258789
Eritrea,Anseba,30,Mosaic cropland / natural vegetation,51176.33,53074.12,20-29,6350,16.34000015258789
Eritrea,Anseba,30,Mosaic cropland / natural vegetation,51176.33,53074.12,30-39,3763,16.34000015258789
Eritrea,Anseba,30,Mosaic cropland / natural vegetation,51176.33,53074.12,40-49,2607,16.34000015258789
Eritrea,Anseba,30,Mosaic cropland / natural vegetation,51176.33,53074.12,50-59,1818,16.34000015258789
Eritrea,Anseba,30,Mosaic cropland / natural vegetation,51176.33,53074.12,60-69,1287,16.34000015258789
Eritrea,Anseba,30,Mosaic cropland / natural vegetation,51176.33,53074.12,70-79,811,16.34000015258789
Eritrea,Anseba,30,Mosaic cropland / natural vegetation,51176.33,53074.12,80-89,583,16.34000015258789
Eritrea,Anseba,30,Mosaic cropland / natural vegetation,51176.33,53074.12,90-99,173,16.34000015258789
Eritrea,Anseba,40,Mosaic natural vegetation / cropland,122118.84,135588.52,0-9,89721,14.65999984741211
Eritrea,Anseba,40,Mosaic natural vegetation / cropland,122118.84,135588.52,10-19,29165,14.65999984741211
Eritrea,Anseba,40,Mosaic natural vegetation / cropland,122118.84,135588.52,20-29,14762,14.65999984741211
Eritrea,Anseba,40,Mosaic natural vegetation / cropland,122118.84,135588.52,30-39,8487,14.65999984741211
Eritrea,Anseba,40,Mosaic natural vegetation / cropland,122118.84,135588.52,40-49,5140,14.65999984741211
Eritrea,Anseba,40,Mosaic natural vegetation / cropland,122118.84,135588.52,50-59,3355,14.65999984741211
Eritrea,Anseba,40,Mosaic natural vegetation / cropland,122118.84,135588.52,60-69,2157,14.65999984741211
Eritrea,Anseba,40,Mosaic natural vegetation / cropland,122118.84,135588.52,70-79,1323,14.65999984741211
Eritrea,Anseba,40,Mosaic natural vegetation / cropland,122118.84,135588.52,80-89,696,14.65999984741211
Eritrea,Anseba,40,Mosaic natural vegetation / cropland,122118.84,135588.52,90-99,216,14.65999984741211
Eritrea,Anseba,50,"Tree cover, broadleaved, evergreen",0.0,819.71,0-9,0,
Eritrea,Anseba,50,"Tree cover, broadleaved, evergreen",0.0,819.71,10-19,0,
Eritrea,Anseba,50,"Tree cover, broadleaved, evergreen",0.0,819.71,20-29,0,
Eritrea,Anseba,50,"Tree cover, broadleaved, evergreen",0.0,819.71,30-39,0,
Eritrea,Anseba,50,"Tree cover, broadleaved, evergreen",0.0,819.71,40-49,0,
Eritrea,Anseba,50,"Tree cover, broadleaved, evergreen",0.0,819.71,50-59,0,
Eritrea,Anseba,50,"Tree cover, broadleaved, evergreen",0.0,819.71,60-69,0,
Eritrea,Anseba,50,"Tree cover, broadleaved, evergreen",0.0,819.71,70-79,0,
Eritrea,Anseba,50,"Tree cover, broadleaved, evergreen",0.0,819.71,80-89,0,
Eritrea,Anseba,50,"Tree cover, broadleaved, evergreen",0.0,819.71,90-99,0,
Eritrea,Anseba,62,"Tree cover, broadleaved, deciduous",203.12,203.12,0-9,70,42.209999084472656
Eritrea,Anseba,62,"Tree cover, broadleaved, deciduous",203.12,203.12,10-19,30,42.209999084472656
Eritrea,Anseba,62,"Tree cover, broadleaved, deciduous",203.12,203.12,20-29,17,42.209999084472656
Eritrea,Anseba,62,"Tree cover, broadleaved, deciduous",203.12,203.12,30-39,14,42.209999084472656
Eritrea,Anseba,62,"Tree cover, broadleaved, deciduous",203.12,203.12,40-49,24,42.209999084472656
Eritrea,Anseba,62,"Tree cover, broadleaved, deciduous",203.12,203.12,50-59,43,42.209999084472656
Eritrea,Anseba,62,"Tree cover, broadleaved, deciduous",203.12,203.12,60-69,26,42.209999084472656
Eritrea,Anseba,62,"Tree cover, broadleaved, deciduous",203.12,203.12,70-79,23,42.209999084472656
Eritrea,Anseba,62,"Tree cover, broadleaved, deciduous",203.12,203.12,80-89,39,42.209999084472656
Eritrea,Anseba,62,"Tree cover, broadleaved, deciduous",203.12,203.12,90-99,3,42.209999084472656
Eritrea,Anseba,70,"Tree cover, needleleaved, evergreen",3408.9,3459.42,0-9,1050,46.43000030517578
Eritrea,Anseba,70,"Tree cover, needleleaved, evergreen",3408.9,3459.42,10-19,359,46.43000030517578
Eritrea,Anseba,70,"Tree cover, needleleaved, evergreen",3408.9,3459.42,20-29,228,46.43000030517578
Eritrea,Anseba,70,"Tree cover, needleleaved, evergreen",3408.9,3459.42,30-39,212,46.43000030517578
Eritrea,Anseba,70,"Tree cover, needleleaved, evergreen",3408.9,3459.42,40-49,246,46.43000030517578
Eritrea,Anseba,70,"Tree cover, needleleaved, evergreen",3408.9,3459.42,50-59,269,46.43000030517578
Eritrea,Anseba,70,"Tree cover, needleleaved, evergreen",3408.9,3459.42,60-69,306,46.43000030517578
Eritrea,Anseba,70,"Tree cover, needleleaved, evergreen",3408.9,3459.42,70-79,413,46.43000030517578
