country,admin,esa_id,esa_class,esa_sampled_ha,esa_total_ha,tree_cover_class,tof_ha,hans_ha,tof_mean,hans_mean
Liberia,Bomi,10,"Cropland, rainfed",45505.39,45988.69,0-9,3122,7614,70.05000305175781,30.90999984741211
Liberia,Bomi,10,"Cropland, rainfed",45505.39,45988.69,10-19,2214,7999,70.05000305175781,30.90999984741211
Liberia,Bomi,10,"Cropland, rainfed",45505.39,45988.69,20-29,2150,10044,70.05000305175781,30.90999984741211
Liberia,Bomi,10,"Cropland, rainfed",45505.39,45988.69,30-39,2296,10563,70.05000305175781,30.90999984741211
Liberia,Bomi,10,"Cropland, rainfed",45505.39,45988.69,40-49,2522,9930,70.05000305175781,30.90999984741211
Liberia,Bomi,10,"Cropland, rainfed",45505.39,45988.69,50-59,3122,5785,70.05000305175781,30.90999984741211
Liberia,Bomi,10,"Cropland, rainfed",45505.39,45988.69,60-69,3779,1294,70.05000305175781,30.90999984741211
Liberia,Bomi,10,"Cropland, rainfed",45505.39,45988.69,70-79,5188,399,70.05000305175781,30.90999984741211
Liberia,Bomi,10,"Cropland, rainfed",45505.39,45988.69,80-89,9058,105,70.05000305175781,30.90999984741211
Liberia,Bomi,10,"Cropland, rainfed",45505.39,45988.69,90-99,19961,17,70.05000305175781,30.90999984741211
Liberia,Bomi,11,"Cropland, rainfed",67669.78,68113.26,0-9,1268,7231,85.37000274658203,50.029998779296875
Liberia,Bomi,11,"Cropland, rainfed",67669.78,68113.26,10-19,773,5547,85.37000274658203,50.029998779296875
Liberia,Bomi,11,"Cropland, rainfed",67669.78,68113.26,20-29,912,6146,85.37000274658203,50.029998779296875
Liberia,Bomi,11,"Cropland, rainfed",67669.78,68113.26,30-39,1057,7250,85.37000274658203,50.029998779296875
Liberia,Bomi,11,"Cropland, rainfed",67669.78,68113.26,40-49,1413,9134,85.37000274658203,50.029998779296875
Liberia,Bomi,11,"Cropland, rainfed",67669.78,68113.26,50-59,1811,13023,85.37000274658203,50.029998779296875
Liberia,Bomi,11,"Cropland, rainfed",67669.78,68113.26,60-69,2454,10447,85.37000274658203,50.029998779296875
Liberia,Bomi,11,"Cropland, rainfed",67669.78,68113.26,70-79,4020,9126,85.37000274658203,50.029998779296875
Liberia,Bomi,11,"Cropland, rainfed",67669.78,68113.26,80-89,8559,7628,85.37000274658203,50.029998779296875
Liberia,Bomi,11,"Cropland, rainfed",67669.78,68113.26,90-99,55902,2750,85.37000274658203,50.029998779296875
Liberia,Bomi,30,Mosaic cropland / natural vegetation,54566.16,54903.67,0-9,2302,10281,78.1500015258789,35.029998779296875
Liberia,Bomi,30,Mosaic cropland / natural vegetation,54566.16,54903.67,10-19,1646,8421,78.1500015258789,35.029998779296875
Liberia,Bomi,30,Mosaic cropland / natural vegetation,54566.16,54903.67,20-29,1776,10016,78.1500015258789,35.029998779296875
Liberia,Bomi,30,Mosaic cropland / natural vegetation,54566.16,54903.67,30-39,1876,11071,78.1500015258789,35.029998779296875
Liberia,Bomi,30,Mosaic cropland / natural vegetation,54566.16,54903.67,40-49,2200,12134,78.1500015258789,35.029998779296875
Liberia,Bomi,30,Mosaic cropland / natural vegetation,54566.16,54903.67,50-59,2741,10526,78.1500015258789,35.029998779296875
Liberia,Bomi,30,Mosaic cropland / natural vegetation,54566.16,54903.67,60-69,3639,4065,78.1500015258789,35.029998779296875
Liberia,Bomi,30,Mosaic cropland / natural vegetation,54566.16,54903.67,70-79,5472,1909,78.1500015258789,35.029998779296875
Liberia,Bomi,30,Mosaic cropland / natural vegetation,54566.16,54903.67,80-89,10646,895,78.1500015258789,35.029998779296875
Liberia,Bomi,30,Mosaic cropland / natural vegetation,54566.16,54903.67,90-99,37061,260,78.1500015258789,35.029998779296875
Liberia,Bomi,40,Mosaic natural vegetation / cropland,26420.85,26521.12,0-9,1183,3941,78.86000061035156,36.13999938964844
Liberia,Bomi,40,Mosaic natural vegetation / cropland,26420.85,26521.12,10-19,727,4085,78.86000061035156,36.13999938964844
Liberia,Bomi,40,Mosaic natural vegetation / cropland,26420.85,26521.12,20-29,743,5275,78.86000061035156,36.13999938964844
Liberia,Bomi,40,Mosaic natural vegetation / cropland,26420.85,26521.12,30-39,866,5943,78.86000061035156,36.13999938964844
Liberia,Bomi,40,Mosaic natural vegetation / cropland,26420.85,26521.12,40-49,1079,6412,78.86000061035156,36.13999938964844
Liberia,Bomi,40,Mosaic natural vegetation / cropland,26420.85,26521.12,50-59,1327,5586,78.86000061035156,36.13999938964844
Liberia,Bomi,40,Mosaic natural vegetation / cropland,26420.85,26521.12,60-69,1743,2119,78.86000061035156,36.13999938964844
Liberia,Bomi,40,Mosaic natural vegetation / cropland,26420.85,26521.12,70-79,2699,921,78.86000061035156,36.13999938964844
Liberia,Bomi,40,Mosaic natural vegetation / cropland,26420.85,26521.12,80-89,5231,349,78.86000061035156,36.13999938964844
Liberia,Bomi,40,Mosaic natural vegetation / cropland,26420.85,26521.12,90-99,19025,73,78.86000061035156,36.13999938964844
Liberia,Bomi,50,"Tree cover, broadleaved, evergreen",9372.65,9550.22,0-9,464,705,82.0199966430664,63.08000183105469
Liberia,Bomi,50,"Tree cover, broadleaved, evergreen",9372.65,9550.22,10-19,243,522,82.0199966430664,63.08000183105469
Liberia,Bomi,50,"Tree cover, broadleaved, evergreen",9372.65,9550.22,20-29,254,622,82.0199966430664,63.08000183105469
Liberia,Bomi,50,"Tree cover, broadleaved, evergreen",9372.65,9550.22,30-39,261,635,82.0199966430664,63.08000183105469
Liberia,Bomi,50,"Tree cover, broadleaved, evergreen",9372.65,9550.22,40-49,254,755,82.0199966430664,63.08000183105469
Liberia,Bomi,50,"Tree cover, broadleaved, evergreen",9372.65,9550.22,50-59,314,1245,82.0199966430664,63.08000183105469
Liberia,Bomi,50,"Tree cover, broadleaved, evergreen",9372.65,9550.22,60-69,355,1544,82.0199966430664,63.08000183105469
Liberia,Bomi,50,"Tree cover, broadleaved, evergreen",9372.65,9550.22,70-79,461,2059,82.0199966430664,63.08000183105469
Liberia,Bomi,50,"Tree cover, broadleaved, evergreen",9372.65,9550.22,80-89,812,2505,82.0199966430664,63.08000183105469
Liberia,Bomi,50,"Tree cover, broadleaved, evergreen",9372.65,9550.22,90-99,8761,1610,82.0199966430664,63.08000183105469
Liberia,Bomi,62,"Tree cover, broadleaved, deciduous",161.21,161.21,0-9,84,40,30.600000381469727,25.09000015258789
Liberia,Bomi,62,"Tree cover, broadleaved, deciduous",161.21,161.21,10-19,31,60,30.600000381469727,25.09000015258789
Liberia,Bomi,62,"Tree cover, broadleaved, deciduous",161.21,161.21,20-29,27,62,30.600000381469727,25.09000015258789
Liberia,Bomi,62,"Tree cover, broadleaved, deciduous",161.21,161.21,30-39,22,37,30.600000381469727,25.09000015258789
Liberia,Bomi,62,"Tree cover, broadleaved, deciduous",161.21,161.21,40-49,18,23,30.600000381469727,25.09000015258789
Liberia,Bomi,62,"Tree cover, broadleaved, deciduous",161.21,161.21,50-59,17,15,30.600000381469727,25.09000015258789
Liberia,Bomi,62,"Tree cover, broadleaved, deciduous",161.21,161.21,60-69,14,4,30.600000381469727,25.09000015258789
Liberia,Bomi,62,"Tree cover, broadleaved, deciduous",161.21,161.21,70-79,9,0,30.600000381469727,25.09000015258789
Liberia,Bomi,62,"Tree cover, broadleaved, deciduous",161.21,161.21,80-89,8,1,30.600000381469727,25.09000015258789
