country,admin,esa_id,esa_class,esa_sampled_ha,esa_total_ha,tree_cover_class,tof_ha,hans_ha,tof_mean,hans_mean
Senegal,Kaffrine,10,"Cropland, rainfed",695997.11,731402.22,0-9,665090,795772,6.840000152587891,4.019999980926514
Senegal,Kaffrine,10,"Cropland, rainfed",695997.11,731402.22,10-19,60252,569,6.840000152587891,4.019999980926514
Senegal,Kaffrine,10,"Cropland, rainfed",695997.11,731402.22,20-29,17580,0,6.840000152587891,4.019999980926514
Senegal,Kaffrine,10,"Cropland, rainfed",695997.11,731402.22,30-39,7896,0,6.840000152587891,4.019999980926514
Senegal,Kaffrine,10,"Cropland, rainfed",695997.11,731402.22,40-49,3955,0,6.840000152587891,4.019999980926514
Senegal,Kaffrine,10,"Cropland, rainfed",695997.11,731402.22,50-59,2091,0,6.840000152587891,4.019999980926514
Senegal,Kaffrine,10,"Cropland, rainfed",695997.11,731402.22,60-69,1090,0,6.840000152587891,4.019999980926514
Senegal,Kaffrine,10,"Cropland, rainfed",695997.11,731402.22,70-79,486,0,6.840000152587891,4.019999980926514
Senegal,Kaffrine,10,"Cropland, rainfed",695997.11,731402.22,80-89,217,0,6.840000152587891,4.019999980926514
Senegal,Kaffrine,10,"Cropland, rainfed",695997.11,731402.22,90-99,47,0,6.840000152587891,4.019999980926514
Senegal,Kaffrine,11,"Cropland, rainfed",137014.45,145154.0,0-9,142273,176038,7.070000171661377,4.010000228881836
Senegal,Kaffrine,11,"Cropland, rainfed",137014.45,145154.0,10-19,16900,25,7.070000171661377,4.010000228881836
Senegal,Kaffrine,11,"Cropland, rainfed",137014.45,145154.0,20-29,4096,0,7.070000171661377,4.010000228881836
Senegal,Kaffrine,11,"Cropland, rainfed",137014.45,145154.0,30-39,1709,0,7.070000171661377,4.010000228881836
Senegal,Kaffrine,11,"Cropland, rainfed",137014.45,145154.0,40-49,669,0,7.070000171661377,4.010000228881836
Senegal,Kaffrine,11,"Cropland, rainfed",137014.45,145154.0,50-59,280,0,7.070000171661377,4.010000228881836
Senegal,Kaffrine,11,"Cropland, rainfed",137014.45,145154.0,60-69,134,0,7.070000171661377,4.010000228881836
Senegal,Kaffrine,11,"Cropland, rainfed",137014.45,145154.0,70-79,56,0,7.070000171661377,4.010000228881836
Senegal,Kaffrine,11,"Cropland, rainfed",137014.45,145154.0,80-89,16,0,7.070000171661377,4.010000228881836
Senegal,Kaffrine,11,"Cropland, rainfed",137014.45,145154.0,90-99,2,0,7.070000171661377,4.010000228881836
Senegal,Kaffrine,20,"Cropland, irrigated or post-flooding",1782.51,2160.04,0-9,2352,3179,6.489999771118164,4.03000020980835
Senegal,Kaffrine,20,"Cropland, irrigated or post-flooding",1782.51,2160.04,10-19,221,3,6.489999771118164,4.03000020980835
Senegal,Kaffrine,20,"Cropland, irrigated or post-flooding",1782.51,2160.04,20-29,37,0,6.489999771118164,4.03000020980835
Senegal,Kaffrine,20,"Cropland, irrigated or post-flooding",1782.51,2160.04,30-39,15,0,6.489999771118164,4.03000020980835
Senegal,Kaffrine,20,"Cropland, irrigated or post-flooding",1782.51,2160.04,40-49,8,0,6.489999771118164,4.03000020980835
Senegal,Kaffrine,20,"Cropland, irrigated or post-flooding",1782.51,2160.04,50-59,5,0,6.489999771118164,4.03000020980835
Senegal,Kaffrine,20,"Cropland, irrigated or post-flooding",1782.51,2160.04,60-69,5,0,6.489999771118164,4.03000020980835
Senegal,Kaffrine,20,"Cropland, irrigated or post-flooding",1782.51,2160.04,70-79,2,0,6.489999771118164,4.03000020980835
Senegal,Kaffrine,20,"Cropland, irrigated or post-flooding",1782.51,2160.04,80-89,2,0,6.489999771118164,4.03000020980835
Senegal,Kaffrine,20,"Cropland, irrigated or post-flooding",1782.51,2160.04,90-99,0,0,6.489999771118164,4.03000020980835
Senegal,Kaffrine,30,Mosaic cropland / natural vegetation,9246.22,12188.04,0-9,11116,16692,7.75,4.079999923706055
Senegal,Kaffrine,30,Mosaic cropland / natural vegetation,9246.22,12188.04,10-19,894,84,7.75,4.079999923706055
Senegal,Kaffrine,30,Mosaic cropland / natural vegetation,9246.22,12188.04,20-29,292,0,7.75,4.079999923706055
Senegal,Kaffrine,30,Mosaic cropland / natural vegetation,9246.22,12188.04,30-39,188,0,7.75,4.079999923706055
Senegal,Kaffrine,30,Mosaic cropland / natural vegetation,9246.22,12188.04,40-49,132,0,7.75,4.079999923706055
