country,admin,esa_id,esa_class,esa_sampled_ha,esa_total_ha,tree_cover_class,tof_ha,tof_mean
Mali,Bamako,10,"Cropland, rainfed",3502.23,3538.49,0-9,2742,12.3100004196167
Mali,Bamako,10,"Cropland, rainfed",3502.23,3538.49,10-19,625,12.3100004196167
Mali,Bamako,10,"Cropland, rainfed",3502.23,3538.49,20-29,247,12.3100004196167
Mali,Bamako,10,"Cropland, rainfed",3502.23,3538.49,30-39,159,12.3100004196167
Mali,Bamako,10,"Cropland, rainfed",3502.23,3538.49,40-49,96,12.3100004196167
Mali,Bamako,10,"Cropland, rainfed",3502.23,3538.49,50-59,61,12.3100004196167
Mali,Bamako,10,"Cropland, rainfed",3502.23,3538.49,60-69,53,12.3100004196167
Mali,Bamako,10,"Cropland, rainfed",3502.23,3538.49,70-79,30,12.3100004196167
Mali,Bamako,10,"Cropland, rainfed",3502.23,3538.49,80-89,18,12.3100004196167
Mali,Bamako,10,"Cropland, rainfed",3502.23,3538.49,90-99,4,12.3100004196167
Mali,Bamako,11,"Cropland, rainfed",18.0,18.0,0-9,23,6.889999866485596
Mali,Bamako,11,"Cropland, rainfed",18.0,18.0,10-19,3,6.889999866485596
Mali,Bamako,11,"Cropland, rainfed",18.0,18.0,20-29,2,6.889999866485596
Mali,Bamako,11,"Cropland, rainfed",18.0,18.0,30-39,0,6.889999866485596
Mali,Bamako,11,"Cropland, rainfed",18.0,18.0,40-49,0,6.889999866485596
Mali,Bamako,11,"Cropland, rainfed",18.0,18.0,50-59,0,6.889999866485596
Mali,Bamako,11,"Cropland, rainfed",18.0,18.0,60-69,0,6.889999866485596
Mali,Bamako,11,"Cropland, rainfed",18.0,18.0,70-79,0,6.889999866485596
Mali,Bamako,11,"Cropland, rainfed",18.0,18.0,80-89,0,6.889999866485596
Mali,Bamako,11,"Cropland, rainfed",18.0,18.0,90-99,0,6.889999866485596
Mali,Bamako,20,"Cropland, irrigated or post-flooding",549.64,562.58,0-9,496,12.09000015258789
Mali,Bamako,20,"Cropland, irrigated or post-flooding",549.64,562.58,10-19,124,12.09000015258789
Mali,Bamako,20,"Cropland, irrigated or post-flooding",549.64,562.58,20-29,49,12.09000015258789
Mali,Bamako,20,"Cropland, irrigated or post-flooding",549.64,562.58,30-39,25,12.09000015258789
Mali,Bamako,20,"Cropland, irrigated or post-flooding",549.64,562.58,40-49,21,12.09000015258789
Mali,Bamako,20,"Cropland, irrigated or post-flooding",549.64,562.58,50-59,14,12.09000015258789
Mali,Bamako,20,"Cropland, irrigated or post-flooding",549.64,562.58,60-69,8,12.09000015258789
Mali,Bamako,20,"Cropland, irrigated or post-flooding",549.64,562.58,70-79,2,12.09000015258789
Mali,Bamako,20,"Cropland, irrigated or post-flooding",549.64,562.58,80-89,0,12.09000015258789
Mali,Bamako,20,"Cropland, irrigated or post-flooding",549.64,562.58,90-99,1,12.09000015258789
Mali,Bamako,30,Mosaic cropland / natural vegetation,597.34,638.22,0-9,430,19.350000381469727
Mali,Bamako,30,Mosaic cropland / natural vegetation,597.34,638.22,10-19,164,19.350000381469727
Mali,Bamako,30,Mosaic cropland / natural vegetation,597.34,638.22,20-29,106,19.350000381469727
Mali,Bamako,30,Mosaic cropland / natural vegetation,597.34,638.22,30-39,68,19.350000381469727
Mali,Bamako,30,Mosaic cropland / natural vegetation,597.34,638.22,40-49,29,19.350000381469727
Mali,Bamako,30,Mosaic cropland / natural vegetation,597.34,638.22,50-59,38,19.350000381469727
Mali,Bamako,30,Mosaic cropland / natural vegetation,597.34,638.22,60-69,25,19.350000381469727
Mali,Bamako,30,Mosaic cropland / natural vegetation,597.34,638.22,70-79,18,19.350000381469727
Mali,Bamako,30,Mosaic cropland / natural vegetation,597.34,638.22,80-89,14,19.350000381469727
Mali,Bamako,30,Mosaic cropland / natural vegetation,597.34,638.22,90-99,4,19.350000381469727
Mali,Bamako,40,Mosaic natural vegetation / cropland,2467.39,2504.85,0-9,2170,13.609999656677246
Mali,Bamako,40,Mosaic natural vegetation / cropland,2467.39,2504.85,10-19,496,13.609999656677246
Mali,Bamako,40,Mosaic natural vegetation / cropland,2467.39,2504.85,20-29,210,13.609999656677246
Mali,Bamako,40,Mosaic natural vegetation / cropland,2467.39,2504.85,30-39,126,13.609999656677246
Mali,Bamako,40,Mosaic natural vegetation / cropland,2467.39,2504.85,40-49,72,13.609999656677246
Mali,Bamako,40,Mosaic natural vegetation / cropland,2467.39,2504.85,50-59,73,13.609999656677246
Mali,Bamako,40,Mosaic natural vegetation / cropland,2467.39,2504.85,60-69,40,13.609999656677246
Mali,Bamako,40,Mosaic natural vegetation / cropland,2467.39,2504.85,70-79,47,13.609999656677246
Mali,Bamako,40,Mosaic natural vegetation / cropland,2467.39,2504.85,80-89,34,13.609999656677246
Mali,Bamako,40,Mosaic natural vegetation / cropland,2467.39,2504.85,90-99,9,13.609999656677246
Mali,Bamako,100,Mosaic tree and shrub / herbaceous cover,9.61,9.61,0-9,16,4.079999923706055
Mali,Bamako,100,Mosaic tree and shrub / herbaceous cover,9.61,9.61,10-19,0,4.079999923706055
Mali,Bamako,100,Mosaic tree and shrub / herbaceous cover,9.61,9.61,20-29,0,4.079999923706055
Mali,Bamako,100,Mosaic tree and shrub / herbaceous cover,9.61,9.61,30-39,0,4.079999923706055
Mali,Bamako,100,Mosaic tree and shrub / herbaceous cover,9.61,9.61,40-49,0,4.079999923706055
Mali,Bamako,100,Mosaic tree and shrub / herbaceous cover,9.61,9.61,50-59,0,4.079999923706055
Mali,Bamako,100,Mosaic tree and shrub / herbaceous cover,9.61,9.61,60-69,0,4.079999923706055
Mali,Bamako,100,Mosaic tree and shrub / herbaceous cover,9.61,9.61,70-79,0,4.079999923706055
Mali,Bamako,100,Mosaic tree and shrub / herbaceous cover,9.61,9.61,80-89,0,4.079999923706055
Mali,Bamako,100,Mosaic tree and shrub / herbaceous cover,9.61,9.61,90-99,0,4.079999923706055
Mali,Bamako,110,Mosaic herbaceous cover / tree and shrub,18.3,18.3,0-9,28,4.269999980926514
Mali,Bamako,110,Mosaic herbaceous cover / tree and shrub,18.3,18.3,10-19,0,4.269999980926514
Mali,Bamako,110,Mosaic herbaceous cover / tree and shrub,18.3,18.3,20-29,0,4.269999980926514
Mali,Bamako,110,Mosaic herbaceous cover / tree and shrub,18.3,18.3,30-39,0,4.269999980926514
Mali,Bamako,110,Mosaic herbaceous cover / tree and shrub,18.3,18.3,40-49,0,4.269999980926514
Mali,Bamako,110,Mosaic herbaceous cover / tree and shrub,18.3,18.3,50-59,0,4.269999980926514
Mali,Bamako,110,Mosaic herbaceous cover / tree and shrub,18.3,18.3,60-69,0,4.269999980926514
Mali,Bamako,110,Mosaic herbaceous cover / tree and shrub,18.3,18.3,70-79,0,4.269999980926514
Mali,Bamako,110,Mosaic herbaceous cover / tree and shrub,18.3,18.3,80-89,0,4.269999980926514
Mali,Bamako,110,Mosaic herbaceous cover / tree and shrub,18.3,18.3,90-99,0,4.269999980926514
Mali,Bamako,120,Shrubland,54.06,55.2,0-9,45,12.5
Mali,Bamako,120,Shrubland,54.06,55.2,10-19,17,12.5
Mali,Bamako,120,Shrubland,54.06,55.2,20-29,7,12.5
Mali,Bamako,120,Shrubland,54.06,55.2,30-39,5,12.5
Mali,Bamako,120,Shrubland,54.06,55.2,40-49,1,12.5
Mali,Bamako,120,Shrubland,54.06,55.2,50-59,1,12.5
Mali,Bamako,120,Shrubland,54.06,55.2,60-69,0,12.5
Mali,Bamako,120,Shrubland,54.06,55.2,70-79,0,12.5
Mali,Bamako,120,Shrubland,54.06,55.2,80-89,0,12.5
Mali,Bamako,120,Shrubland,54.06,55.2,90-99,0,12.5
Mali,Bamako,122,Shrubland,5.84,9.61,0-9,4,18.889999389648438
Mali,Bamako,122,Shrubland,5.84,9.61,10-19,1,18.889999389648438
Mali,Bamako,122,Shrubland,5.84,9.61,20-29,3,18.889999389648438
Mali,Bamako,122,Shrubland,5.84,9.61,30-39,0,18.889999389648438
Mali,Bamako,122,Shrubland,5.84,9.61,40-49,2,18.889999389648438
Mali,Bamako,122,Shrubland,5.84,9.61,50-59,0,18.889999389648438
Mali,Bamako,122,Shrubland,5.84,9.61,60-69,0,18.889999389648438
Mali,Bamako,122,Shrubland,5.84,9.61,70-79,0,18.889999389648438
Mali,Bamako,122,Shrubland,5.84,9.61,80-89,0,18.889999389648438
Mali,Bamako,122,Shrubland,5.84,9.61,90-99,0,18.889999389648438
Mali,Bamako,130,Grassland,9.0,9.0,0-9,15,5.400000095367432
Mali,Bamako,130,Grassland,9.0,9.0,10-19,1,5.400000095367432
Mali,Bamako,130,Grassland,9.0,9.0,20-29,0,5.400000095367432
Mali,Bamako,130,Grassland,9.0,9.0,30-39,0,5.400000095367432
Mali,Bamako,130,Grassland,9.0,9.0,40-49,0,5.400000095367432
Mali,Bamako,130,Grassland,9.0,9.0,50-59,0,5.400000095367432
Mali,Bamako,130,Grassland,9.0,9.0,60-69,0,5.400000095367432
Mali,Bamako,130,Grassland,9.0,9.0,70-79,0,5.400000095367432
Mali,Bamako,130,Grassland,9.0,9.0,80-89,0,5.400000095367432
Mali,Bamako,130,Grassland,9.0,9.0,90-99,0,5.400000095367432
Mali,Bamako,190,Urban areas,14631.72,14750.47,0-9,8274,12.649999618530273
Mali,Bamako,190,Urban areas,14631.72,14750.47,10-19,4633,12.649999618530273
Mali,Bamako,190,Urban areas,14631.72,14750.47,20-29,1519,12.649999618530273
Mali,Bamako,190,Urban areas,14631.72,14750.47,30-39,613,12.649999618530273
Mali,Bamako,190,Urban areas,14631.72,14750.47,40-49,279,12.649999618530273
Mali,Bamako,190,Urban areas,14631.72,14750.47,50-59,106,12.649999618530273
Mali,Bamako,190,Urban areas,14631.72,14750.47,60-69,45,12.649999618530273
Mali,Bamako,190,Urban areas,14631.72,14750.47,70-79,12,12.649999618530273
Mali,Bamako,190,Urban areas,14631.72,14750.47,80-89,3,12.649999618530273
Mali,Bamako,190,Urban areas,14631.72,14750.47,90-99,0,12.649999618530273
