country,admin,esa_id,esa_class,esa_sampled_ha,esa_total_ha,tree_cover_class,tof_ha,tof_mean
Cameroon,Adamaoua,10,"Cropland, rainfed",24118.58,24203.18,0-9,20419,13.270000457763672
Cameroon,Adamaoua,10,"Cropland, rainfed",24118.58,24203.18,10-19,3874,13.270000457763672
Cameroon,Adamaoua,10,"Cropland, rainfed",24118.58,24203.18,20-29,1981,13.270000457763672
Cameroon,Adamaoua,10,"Cropland, rainfed",24118.58,24203.18,30-39,1244,13.270000457763672
Cameroon,Adamaoua,10,"Cropland, rainfed",24118.58,24203.18,40-49,801,13.270000457763672
Cameroon,Adamaoua,10,"Cropland, rainfed",24118.58,24203.18,50-59,591,13.270000457763672
Cameroon,Adamaoua,10,"Cropland, rainfed",24118.58,24203.18,60-69,461,13.270000457763672
Cameroon,Adamaoua,10,"Cropland, rainfed",24118.58,24203.18,70-79,357,13.270000457763672
Cameroon,Adamaoua,10,"Cropland, rainfed",24118.58,24203.18,80-89,239,13.270000457763672
Cameroon,Adamaoua,10,"Cropland, rainfed",24118.58,24203.18,90-99,114,13.270000457763672
Cameroon,Adamaoua,11,"Cropland, rainfed",361.08,436.5,0-9,302,23.700000762939453
Cameroon,Adamaoua,11,"Cropland, rainfed",361.08,436.5,10-19,57,23.700000762939453
Cameroon,Adamaoua,11,"Cropland, rainfed",361.08,436.5,20-29,39,23.700000762939453
Cameroon,Adamaoua,11,"Cropland, rainfed",361.08,436.5,30-39,38,23.700000762939453
Cameroon,Adamaoua,11,"Cropland, rainfed",361.08,436.5,40-49,47,23.700000762939453
Cameroon,Adamaoua,11,"Cropland, rainfed",361.08,436.5,50-59,27,23.700000762939453
Cameroon,Adamaoua,11,"Cropland, rainfed",361.08,436.5,60-69,25,23.700000762939453
Cameroon,Adamaoua,11,"Cropland, rainfed",361.08,436.5,70-79,27,23.700000762939453
Cameroon,Adamaoua,11,"Cropland, rainfed",361.08,436.5,80-89,16,23.700000762939453
Cameroon,Adamaoua,11,"Cropland, rainfed",361.08,436.5,90-99,9,23.700000762939453
Cameroon,Adamaoua,20,"Cropland, irrigated or post-flooding",1758.98,1778.2,0-9,974,19.790000915527344
Cameroon,Adamaoua,20,"Cropland, irrigated or post-flooding",1758.98,1778.2,10-19,482,19.790000915527344
Cameroon,Adamaoua,20,"Cropland, irrigated or post-flooding",1758.98,1778.2,20-29,308,19.790000915527344
Cameroon,Adamaoua,20,"Cropland, irrigated or post-flooding",1758.98,1778.2,30-39,203,19.790000915527344
Cameroon,Adamaoua,20,"Cropland, irrigated or post-flooding",1758.98,1778.2,40-49,111,19.790000915527344
Cameroon,Adamaoua,20,"Cropland, irrigated or post-flooding",1758.98,1778.2,50-59,81,19.790000915527344
Cameroon,Adamaoua,20,"Cropland, irrigated or post-flooding",1758.98,1778.2,60-69,53,19.790000915527344
Cameroon,Adamaoua,20,"Cropland, irrigated or post-flooding",1758.98,1778.2,70-79,37,19.790000915527344
Cameroon,Adamaoua,20,"Cropland, irrigated or post-flooding",1758.98,1778.2,80-89,32,19.790000915527344
Cameroon,Adamaoua,20,"Cropland, irrigated or post-flooding",1758.98,1778.2,90-99,1,19.790000915527344
Cameroon,Adamaoua,30,Mosaic cropland / natural vegetation,27308.7,27458.42,0-9,23320,14.920000076293945
Cameroon,Adamaoua,30,Mosaic cropland / natural vegetation,27308.7,27458.42,10-19,5455,14.920000076293945
Cameroon,Adamaoua,30,Mosaic cropland / natural vegetation,27308.7,27458.42,20-29,2906,14.920000076293945
Cameroon,Adamaoua,30,Mosaic cropland / natural vegetation,27308.7,27458.42,30-39,1858,14.920000076293945
Cameroon,Adamaoua,30,Mosaic cropland / natural vegetation,27308.7,27458.42,40-49,1143,14.920000076293945
Cameroon,Adamaoua,30,Mosaic cropland / natural vegetation,27308.7,27458.42,50-59,905,14.920000076293945
Cameroon,Adamaoua,30,Mosaic cropland / natural vegetation,27308.7,27458.42,60-69,634,14.920000076293945
Cameroon,Adamaoua,30,Mosaic cropland / natural vegetation,27308.7,27458.42,70-79,483,14.920000076293945
Cameroon,Adamaoua,30,Mosaic cropland / natural vegetation,27308.7,27458.42,80-89,378,14.920000076293945
Cameroon,Adamaoua,30,Mosaic cropland / natural vegetation,27308.7,27458.42,90-99,191,14.920000076293945
Cameroon,Adamaoua,40,Mosaic natural vegetation / cropland,71116.96,72003.67,0-9,46112,22.420000076293945
Cameroon,Adamaoua,40,Mosaic natural vegetation / cropland,71116.96,72003.67,10-19,13338,22.420000076293945
Cameroon,Adamaoua,40,Mosaic natural vegetation / cropland,71116.96,72003.67,20-29,8251,22.420000076293945
Cameroon,Adamaoua,40,Mosaic natural vegetation / cropland,71116.96,72003.67,30-39,6284,22.420000076293945
Cameroon,Adamaoua,40,Mosaic natural vegetation / cropland,71116.96,72003.67,40-49,5052,22.420000076293945
Cameroon,Adamaoua,40,Mosaic natural vegetation / cropland,71116.96,72003.67,50-59,4028,22.420000076293945
Cameroon,Adamaoua,40,Mosaic natural vegetation / cropland,71116.96,72003.67,60-69,3371,22.420000076293945
Cameroon,Adamaoua,40,Mosaic natural vegetation / cropland,71116.96,72003.67,70-79,2917,22.420000076293945
Cameroon,Adamaoua,40,Mosaic natural vegetation / cropland,71116.96,72003.67,80-89,2462,22.420000076293945
