country,admin,esa_id,esa_class,esa_sampled_ha,esa_total_ha,tree_cover_class,tof_ha,tof_mean
Central African Republic,Bamingui-Bangoran,10,"Cropland, rainfed",609.47,609.47,0-9,551,10.020000457763672
Central African Republic,Bamingui-Bangoran,10,"Cropland, rainfed",609.47,609.47,10-19,67,10.020000457763672
Central African Republic,Bamingui-Bangoran,10,"Cropland, rainfed",609.47,609.47,20-29,37,10.020000457763672
Central African Republic,Bamingui-Bangoran,10,"Cropland, rainfed",609.47,609.47,30-39,35,10.020000457763672
Central African Republic,Bamingui-Bangoran,10,"Cropland, rainfed",609.47,609.47,40-49,13,10.020000457763672
Central African Republic,Bamingui-Bangoran,10,"Cropland, rainfed",609.47,609.47,50-59,9,10.020000457763672
Central African Republic,Bamingui-Bangoran,10,"Cropland, rainfed",609.47,609.47,60-69,8,10.020000457763672
Central African Republic,Bamingui-Bangoran,10,"Cropland, rainfed",609.47,609.47,70-79,2,10.020000457763672
Central African Republic,Bamingui-Bangoran,10,"Cropland, rainfed",609.47,609.47,80-89,0,10.020000457763672
Central African Republic,Bamingui-Bangoran,10,"Cropland, rainfed",609.47,609.47,90-99,0,10.020000457763672
Central African Republic,Bamingui-Bangoran,11,"Cropland, rainfed",218.55,218.55,0-9,34,37.95000076293945
Central African Republic,Bamingui-Bangoran,11,"Cropland, rainfed",218.55,218.55,10-19,54,37.95000076293945
Central African Republic,Bamingui-Bangoran,11,"Cropland, rainfed",218.55,218.55,20-29,52,37.95000076293945
Central African Republic,Bamingui-Bangoran,11,"Cropland, rainfed",218.55,218.55,30-39,38,37.95000076293945
Central African Republic,Bamingui-Bangoran,11,"Cropland, rainfed",218.55,218.55,40-49,51,37.95000076293945
Central African Republic,Bamingui-Bangoran,11,"Cropland, rainfed",218.55,218.55,50-59,36,37.95000076293945
Central African Republic,Bamingui-Bangoran,11,"Cropland, rainfed",218.55,218.55,60-69,43,37.95000076293945
Central African Republic,Bamingui-Bangoran,11,"Cropland, rainfed",218.55,218.55,70-79,19,37.95000076293945
Central African Republic,Bamingui-Bangoran,11,"Cropland, rainfed",218.55,218.55,80-89,4,37.95000076293945
Central African Republic,Bamingui-Bangoran,11,"Cropland, rainfed",218.55,218.55,90-99,3,37.95000076293945
Central African Republic,Bamingui-Bangoran,20,"Cropland, irrigated or post-flooding",415.34,465.04,0-9,77,46.52000045776367
Central African Republic,Bamingui-Bangoran,20,"Cropland, irrigated or post-flooding",415.34,465.04,10-19,65,46.52000045776367
Central African Republic,Bamingui-Bangoran,20,"Cropland, irrigated or post-flooding",415.34,465.04,20-29,75,46.52000045776367
Central African Republic,Bamingui-Bangoran,20,"Cropland, irrigated or post-flooding",415.34,465.04,30-39,57,46.52000045776367
Central African Republic,Bamingui-Bangoran,20,"Cropland, irrigated or post-flooding",415.34,465.04,40-49,67,46.52000045776367
Central African Republic,Bamingui-Bangoran,20,"Cropland, irrigated or post-flooding",415.34,465.04,50-59,60,46.52000045776367
Central African Republic,Bamingui-Bangoran,20,"Cropland, irrigated or post-flooding",415.34,465.04,60-69,79,46.52000045776367
Central African Republic,Bamingui-Bangoran,20,"Cropland, irrigated or post-flooding",415.34,465.04,70-79,63,46.52000045776367
Central African Republic,Bamingui-Bangoran,20,"Cropland, irrigated or post-flooding",415.34,465.04,80-89,69,46.52000045776367
Central African Republic,Bamingui-Bangoran,20,"Cropland, irrigated or post-flooding",415.34,465.04,90-99,28,46.52000045776367
Central African Republic,Bamingui-Bangoran,30,Mosaic cropland / natural vegetation,2303.08,2331.61,0-9,1226,29.469999313354492
Central African Republic,Bamingui-Bangoran,30,Mosaic cropland / natural vegetation,2303.08,2331.61,10-19,346,29.469999313354492
Central African Republic,Bamingui-Bangoran,30,Mosaic cropland / natural vegetation,2303.08,2331.61,20-29,239,29.469999313354492
Central African Republic,Bamingui-Bangoran,30,Mosaic cropland / natural vegetation,2303.08,2331.61,30-39,247,29.469999313354492
Central African Republic,Bamingui-Bangoran,30,Mosaic cropland / natural vegetation,2303.08,2331.61,40-49,242,29.469999313354492
Central African Republic,Bamingui-Bangoran,30,Mosaic cropland / natural vegetation,2303.08,2331.61,50-59,264,29.469999313354492
Central African Republic,Bamingui-Bangoran,30,Mosaic cropland / natural vegetation,2303.08,2331.61,60-69,284,29.469999313354492
Central African Republic,Bamingui-Bangoran,30,Mosaic cropland / natural vegetation,2303.08,2331.61,70-79,196,29.469999313354492
Central African Republic,Bamingui-Bangoran,30,Mosaic cropland / natural vegetation,2303.08,2331.61,80-89,77,29.469999313354492
Central African Republic,Bamingui-Bangoran,30,Mosaic cropland / natural vegetation,2303.08,2331.61,90-99,24,29.469999313354492
Central African Republic,Bamingui-Bangoran,40,Mosaic natural vegetation / cropland,1806.18,1838.69,0-9,1288,22.31999969482422
Central African Republic,Bamingui-Bangoran,40,Mosaic natural vegetation / cropland,1806.18,1838.69,10-19,369,22.31999969482422
Central African Republic,Bamingui-Bangoran,40,Mosaic natural vegetation / cropland,1806.18,1838.69,20-29,233,22.31999969482422
Central African Republic,Bamingui-Bangoran,40,Mosaic natural vegetation / cropland,1806.18,1838.69,30-39,131,22.31999969482422
Central African Republic,Bamingui-Bangoran,40,Mosaic natural vegetation / cropland,1806.18,1838.69,40-49,133,22.31999969482422
Central African Republic,Bamingui-Bangoran,40,Mosaic natural vegetation / cropland,1806.18,1838.69,50-59,120,22.31999969482422
Central African Republic,Bamingui-Bangoran,40,Mosaic natural vegetation / cropland,1806.18,1838.69,60-69,101,22.31999969482422
Central African Republic,Bamingui-Bangoran,40,Mosaic natural vegetation / cropland,1806.18,1838.69,70-79,94,22.31999969482422
Central African Republic,Bamingui-Bangoran,40,Mosaic natural vegetation / cropland,1806.18,1838.69,80-89,69,22.31999969482422
Central African Republic,Bamingui-Bangoran,40,Mosaic natural vegetation / cropland,1806.18,1838.69,90-99,39,22.31999969482422
Central African Republic,Bamingui-Bangoran,50,"Tree cover, broadleaved, evergreen",47313.99,47973.13,0-9,413,89.0199966430664
Central African Republic,Bamingui-Bangoran,50,"Tree cover, broadleaved, evergreen",47313.99,47973.13,10-19,532,89.0199966430664
Central African Republic,Bamingui-Bangoran,50,"Tree cover, broadleaved, evergreen",47313.99,47973.13,20-29,503,89.0199966430664
Central African Republic,Bamingui-Bangoran,50,"Tree cover, broadleaved, evergreen",47313.99,47973.13,30-39,513,89.0199966430664
Central African Republic,Bamingui-Bangoran,50,"Tree cover, broadleaved, evergreen",47313.99,47973.13,40-49,520,89.0199966430664
Central African Republic,Bamingui-Bangoran,50,"Tree cover, broadleaved, evergreen",47313.99,47973.13,50-59,660,89.0199966430664
Central African Republic,Bamingui-Bangoran,50,"Tree cover, broadleaved, evergreen",47313.99,47973.13,60-69,940,89.0199966430664
Central African Republic,Bamingui-Bangoran,50,"Tree cover, broadleaved, evergreen",47313.99,47973.13,70-79,1458,89.0199966430664
Central African Republic,Bamingui-Bangoran,50,"Tree cover, broadleaved, evergreen",47313.99,47973.13,80-89,4028,89.0199966430664
Central African Republic,Bamingui-Bangoran,50,"Tree cover, broadleaved, evergreen",47313.99,47973.13,90-99,49226,89.0199966430664
Central African Republic,Bamingui-Bangoran,60,"Tree cover, broadleaved, deciduous",95395.24,95616.02,0-9,2379,84.69000244140625
Central African Republic,Bamingui-Bangoran,60,"Tree cover, broadleaved, deciduous",95395.24,95616.02,10-19,2495,84.69000244140625
Central African Republic,Bamingui-Bangoran,60,"Tree cover, broadleaved, deciduous",95395.24,95616.02,20-29,2167,84.69000244140625
Central African Republic,Bamingui-Bangoran,60,"Tree cover, broadleaved, deciduous",95395.24,95616.02,30-39,1951,84.69000244140625
Central African Republic,Bamingui-Bangoran,60,"Tree cover, broadleaved, deciduous",95395.24,95616.02,40-49,1888,84.69000244140625
Central African Republic,Bamingui-Bangoran,60,"Tree cover, broadleaved, deciduous",95395.24,95616.02,50-59,2018,84.69000244140625
Central African Republic,Bamingui-Bangoran,60,"Tree cover, broadleaved, deciduous",95395.24,95616.02,60-69,2491,84.69000244140625
Central African Republic,Bamingui-Bangoran,60,"Tree cover, broadleaved, deciduous",95395.24,95616.02,70-79,3772,84.69000244140625
Central African Republic,Bamingui-Bangoran,60,"Tree cover, broadleaved, deciduous",95395.24,95616.02,80-89,9962,84.69000244140625
Central African Republic,Bamingui-Bangoran,60,"Tree cover, broadleaved, deciduous",95395.24,95616.02,90-99,88868,84.69000244140625
Central African Republic,Bamingui-Bangoran,62,"Tree cover, broadleaved, deciduous",4972612.53,5144820.16,0-9,178608,64.29000091552734
Central African Republic,Bamingui-Bangoran,62,"Tree cover, broadleaved, deciduous",4972612.53,5144820.16,10-19,279309,64.29000091552734
Central African Republic,Bamingui-Bangoran,62,"Tree cover, broadleaved, deciduous",4972612.53,5144820.16,20-29,307322,64.29000091552734
Central African Republic,Bamingui-Bangoran,62,"Tree cover, broadleaved, deciduous",4972612.53,5144820.16,30-39,333570,64.29000091552734
Central African Republic,Bamingui-Bangoran,62,"Tree cover, broadleaved, deciduous",4972612.53,5144820.16,40-49,376532,64.29000091552734
Central African Republic,Bamingui-Bangoran,62,"Tree cover, broadleaved, deciduous",4972612.53,5144820.16,50-59,441902,64.29000091552734
Central African Republic,Bamingui-Bangoran,62,"Tree cover, broadleaved, deciduous",4972612.53,5144820.16,60-69,532421,64.29000091552734
Central African Republic,Bamingui-Bangoran,62,"Tree cover, broadleaved, deciduous",4972612.53,5144820.16,70-79,662836,64.29000091552734
Central African Republic,Bamingui-Bangoran,62,"Tree cover, broadleaved, deciduous",4972612.53,5144820.16,80-89,955900,64.29000091552734
Central African Republic,Bamingui-Bangoran,62,"Tree cover, broadleaved, deciduous",4972612.53,5144820.16,90-99,1036160,64.29000091552734
Central African Republic,Bamingui-Bangoran,100,Mosaic tree and shrub / herbaceous cover,561.28,566.7,0-9,336,42.47999954223633
Central African Republic,Bamingui-Bangoran,100,Mosaic tree and shrub / herbaceous cover,561.28,566.7,10-19,72,42.47999954223633
Central African Republic,Bamingui-Bangoran,100,Mosaic tree and shrub / herbaceous cover,561.28,566.7,20-29,29,42.47999954223633
Central African Republic,Bamingui-Bangoran,100,Mosaic tree and shrub / herbaceous cover,561.28,566.7,30-39,15,42.47999954223633
Central African Republic,Bamingui-Bangoran,100,Mosaic tree and shrub / herbaceous cover,561.28,566.7,40-49,22,42.47999954223633
Central African Republic,Bamingui-Bangoran,100,Mosaic tree and shrub / herbaceous cover,561.28,566.7,50-59,13,42.47999954223633
Central African Republic,Bamingui-Bangoran,100,Mosaic tree and shrub / herbaceous cover,561.28,566.7,60-69,24,42.47999954223633
Central African Republic,Bamingui-Bangoran,100,Mosaic tree and shrub / herbaceous cover,561.28,566.7,70-79,24,42.47999954223633
Central African Republic,Bamingui-Bangoran,100,Mosaic tree and shrub / herbaceous cover,561.28,566.7,80-89,39,42.47999954223633
Central African Republic,Bamingui-Bangoran,100,Mosaic tree and shrub / herbaceous cover,561.28,566.7,90-99,239,42.47999954223633
Central African Republic,Bamingui-Bangoran,110,Mosaic herbaceous cover / tree and shrub,158082.68,160022.61,0-9,441,87.25
Central African Republic,Bamingui-Bangoran,110,Mosaic herbaceous cover / tree and shrub,158082.68,160022.61,10-19,620,87.25
Central African Republic,Bamingui-Bangoran,110,Mosaic herbaceous cover / tree and shrub,158082.68,160022.61,20-29,828,87.25
Central African Republic,Bamingui-Bangoran,110,Mosaic herbaceous cover / tree and shrub,158082.68,160022.61,30-39,1276,87.25
Central African Republic,Bamingui-Bangoran,110,Mosaic herbaceous cover / tree and shrub,158082.68,160022.61,40-49,2024,87.25
Central African Republic,Bamingui-Bangoran,110,Mosaic herbaceous cover / tree and shrub,158082.68,160022.61,50-59,3412,87.25
Central African Republic,Bamingui-Bangoran,110,Mosaic herbaceous cover / tree and shrub,158082.68,160022.61,60-69,6206,87.25
Central African Republic,Bamingui-Bangoran,110,Mosaic herbaceous cover / tree and shrub,158082.68,160022.61,70-79,12630,87.25
Central African Republic,Bamingui-Bangoran,110,Mosaic herbaceous cover / tree and shrub,158082.68,160022.61,80-89,37784,87.25
Central African Republic,Bamingui-Bangoran,110,Mosaic herbaceous cover / tree and shrub,158082.68,160022.61,90-99,123127,87.25
Central African Republic,Bamingui-Bangoran,120,Shrubland,399079.47,436812.7,0-9,84086,32.38999938964844
Central African Republic,Bamingui-Bangoran,120,Shrubland,399079.47,436812.7,10-19,105154,32.38999938964844
