Y,X,VALUE,Unnamed: 3,id,QAQC
7.771130487,4.5646195,1,,0,Good
8.095755341,29.36468844,1,,1,Good
-23.3753909,-49.8150791,1,,2,Good
8.745309732,-9.799948262,1,,3,Bad
13.22452986,17.19405115,1,,4,Good
-1.132390803,37.17045831,1,,5,Good
20.13080304,-101.719125,1,,6,Good
11.18527644,79.10535087,1,,7,Good
-19.63485097,-47.37078133,1,,8,Good
23.12411783,84.43110442,1,,9,Good
23.20761234,106.2238487,1,,10,Okay
-23.1248472,-48.91646315,1,,11,Good
-8.177636244,-49.45250937,1,,12,Good
-21.20974619,-53.81959094,1,,13,Good
10.45254045,78.78443767,1,,14,Good
-7.285080664,145.9531815,1,,15,Good
-7.771839414,-43.70243791,1,,16,Good
-3.316232929,28.81443698,1,,17,Bad
-7.852986514,-40.99797674,1,,18,Good
-4.125467556,27.33170837,1,,19,Good
11.10382719,50.72524833,1,,20,Good
19.71686626,-97.30789842,1,,21,Good
10.69670997,6.706195878,1,,22,Bad
-3.63989286,15.53358053,1,,23,Bad
-20.71174383,145.7317761,1,,24,Good
1.859501499,35.88052798,1,,25,Good
10.12709499,123.5676742,1,,26,No image
-9.802486231,-57.04052486,1,,27,Good
22.87375244,86.0134792,1,,28,Good
23.29112671,78.50228333,1,,29,Good
8.339289501,-68.3466347,1,,30,Good
13.96020586,-90.81799231,1,,31,Bad
11.34820128,77.71901542,1,,32,Good
9.639162262,76.85038135,1,,33,Good
10.20844435,11.73793997,1,,34,Good
-1.374986555,38.07074084,1,,35,Good
15.59833329,77.04576652,1,,36,Good
1.61688522,37.57431969,1,,37,Good
-10.2905125,-36.33277977,1,,38,Good
12.89783779,78.40386044,1,,39,Good
-9.396008088,124.9095153,1,,40,Good
-14.69749575,-58.00379951,1,,41,Good
10.61531186,11.14232297,1,,42,Okay
-17.57146941,35.50455446,1,,43,Good
-4.773079725,136.9373971,1,,44,No image
12.08181103,79.86989136,1,,45,Good
-4.449246369,39.43444093,1,,46,No image
-4.044530906,122.0647784,1,,47,No image
7.689989444,-71.28941857,1,,48,Good
14.36929967,74.94126917,1,,49,Good
9.232758435,43.60185396,1,,50,Good
-2.183716662,15.42137481,1,,51,Good
16.66576575,74.02424026,1,,52,Bad
-22.79106511,19.67135743,1,,53,Good
-22.70766831,-50.92086489,1,,54,Good
12.16336982,9.7632379,1,,55,Good
-3.478057573,33.91186503,1,,56,Good
11.51116169,15.60899615,1,,57,Good
-1.617591754,102.6453136,1,,58,TBD
18.5599823,83.16885899,1,,59,TBD
0.40393712,102.1227569,1,,60,TBD
-22.04118216,44.70250107,1,,61,Good
16.17283149,80.35300094,1,,62,Okay
13.14284132,30.57872718,1,,63,Good
-21.70838895,166.0774959,1,,64,Bad
12.65292593,-85.85576064,1,,65,No image
22.87375244,114.6675566,1,,66,Good
11.91872187,6.01597937,1,,67,Good
-6.798524235,-41.94028517,1,,68,Good
-2.102837166,38.37925635,1,,69,Okay
-5.339931396,34.76469718,1,,70,Good
10.04575352,4.481455682,1,,71,Bad
10.12709499,2.467171039,1,,72,Good
-19.05613376,26.60189869,1,,73,Good
-20.13152668,146.0144501,1,,74,Good
19.96517872,-98.74988049,1,,75,TBD
13.63313087,-89.8253845,1,,76,TBD
-12.00097416,14.00779024,1,,77,TBD
12.89783779,9.881798796,1,,78,TBD
-4.125467556,-46.92178954,1,,79,TBD
-17.15990389,-55.16141414,1,,80,TBD
12.5713087,17.47019413,1,,81,TBD
13.63313087,-89.62227723,1,,82,TBD
19.46870068,-97.73246635,1,,83,TBD
14.20562831,-91.79369578,1,,84,TBD
9.639162262,-11.42574379,1,,85,TBD
-15.84518721,35.10215526,1,,86,TBD
-13.06187672,28.44300292,1,,87,TBD
18.06510052,-100.3186653,1,,88,TBD
-6.960688083,-48.76503894,1,,89,TBD
8.176927047,-3.465279139,1,,90,TBD
-17.73619518,138.8632648,1,,91,TBD
22.79033641,104.7615202,1,,92,Good
-3.478057573,29.81632871,1,,93,Bad
-14.94322941,48.86932125,1,,94,Good
15.92654126,-3.936621136,1,,95,TBD
-6.150073247,35.59629385,1,,96,TBD
21.87402176,75.4956629,1,,97,TBD
5.501217284,95.8083487,1,,98,TBD
9.639162262,80.27271687,1,,99,TBD
